播放时长,标签个数,硬币数,弹幕数,收藏数,点赞数,评论数,分享数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_2,是否合作_1,有无简介_0,有无广告_1,弹幕模式_1.0,弹幕模式_2.0,弹幕模式_3.0,弹幕模式_4.0,标题样式_！,标题样式_？,24h播放增量
164,9,2640,692,1082,11515,2027,6240,6.0,1668179.0,694.0,-0.0014409221902017,-0.0014409221902017,0.1308333333333333,0.4955337204108977,0.0,0.0,1.342,39.782,0,0,0,0,0,0,0,1,0,0,138744.0
281,7,1814,133,746,3944,174,189,6.0,1343524.0,128.0,-0.0078125,-0.0078125,0.1479976851851852,0.1925754060324826,0.0,0.0,0.3059701492537313,6.044776119402985,0,0,0,0,0,0,0,1,0,0,91097.0
393,9,4513,915,2523,18565,527,396,6.0,1723628.0,60.0,-0.0166666666666666,-0.0166666666666666,0.1609143518518518,0.7524549096890404,0.0,0.0,0.7300771208226221,4.956298200514139,0,0,0,0,0,0,0,1,0,1,149358.0
884,9,15612,6049,7653,49901,2114,620,6.0,8702747.0,1583.0,-0.0006317119393556,-0.0006317119393556,0.1623032407407407,2.585153892576946,0.0,0.0,0.41,18.806,0,0,0,0,0,0,0,0,1,0,277661.0
596,11,17048,1824,4428,37292,626,3485,6.0,5293669.0,216.0,-0.0046296296296296,-0.0046296296296296,0.1629050925925926,0.1014585743519371,0.0,0.0,0.4183908045977011,14.558620689655172,0,0,0,0,0,0,1,0,0,0,606439.0
118,12,15114,781,6212,20899,1766,3542,6.0,1745272.0,272.0,-0.0036764705882352,-0.0036764705882352,0.1629976851851851,1.2723404255319148,0.0,0.0,0.518,10.296,0,0,0,0,1,0,0,0,0,0,133749.0
710,10,29373,13955,14899,95888,3502,1898,6.0,4005589.0,100.0,-0.01,-0.01,0.1635300925925926,0.162096128733308,0.0,0.0,0.564,44.204,0,0,0,0,0,0,0,0,0,0,625736.0
700,12,12367,1211,2368,35862,491,411,6.0,3649981.0,551.0,-0.0018148820326678,-0.0018148820326678,0.1676504629629629,0.5971706911927892,0.0,0.0,0.4712990936555891,5.308157099697885,0,0,0,1,0,0,0,1,0,0,461775.0
701,11,15418,1224,4723,20718,641,531,6.0,1655951.0,82.0,-0.0121951219512195,-0.0121951219512195,0.1696643518518518,1.1670381907025495,0.0,0.0,0.7727272727272727,18.011363636363637,0,0,0,0,0,0,1,0,1,0,183822.0
1361,11,8266,2234,2420,26713,514,337,6.0,4592877.0,285.0,-0.0035087719298245,-0.0035087719298245,0.1739583333333333,1.2836653386454184,0.0,0.0,0.2639225181598063,4.832929782082324,0,0,0,0,0,0,0,1,1,0,297062.0
202,10,1612,69,1233,3726,117,187,6.0,396900.0,28.0,-0.0357142857142857,-0.0357142857142857,0.1747106481481481,1.1207052046664534,0.0,0.0,0.4069767441860465,6.3023255813953485,0,0,0,0,0,0,0,1,0,0,15997.0
810,9,12715,3583,3480,35010,1528,1930,6.0,1614966.0,266.0,-0.0037593984962406,-0.0037593984962406,0.1803935185185185,0.5239576376299971,0.0,0.0,1.1803607214428855,9.653306613226452,0,0,0,1,0,0,0,0,0,1,555663.0
430,8,8826,2657,3072,38969,797,454,6.0,4047576.0,429.0,-0.0023310023310023,-0.0023310023310023,0.1806828703703703,0.4852897220205815,0.0,0.0,0.36,23.138,0,0,0,0,0,0,1,0,0,0,396130.0
284,8,4662,1546,2583,28668,581,336,6.0,1335961.0,310.0,-0.0032258064516129,-0.0032258064516129,0.1818981481481481,0.166903576025519,0.0,0.0,0.2783964365256124,5.305122494432071,0,0,0,0,0,0,0,1,0,1,328711.0
1000,9,762,657,2170,3730,232,1609,6.0,1655659.0,291.0,-0.0034364261168384,-0.0034364261168384,0.1872685185185185,0.4821320241074776,0.0,0.0,0.5471698113207547,17.91194968553459,0,0,0,0,0,0,0,0,1,0,40919.0
355,8,11183,2360,3367,20041,946,2073,6.0,1314463.0,296.0,-0.0033783783783783,-0.0033783783783783,0.1930208333333333,0.1070083673009389,0.0,0.0,0.57,10.816,0,0,0,0,0,0,0,1,0,0,612418.0
677,10,7825,1410,3791,40090,438,169,6.0,1560130.0,1896.0,-0.0005274261603375,-0.0005274261603375,0.195787037037037,0.31254447666928,0.0,0.0,0.3088235294117647,10.438235294117646,0,1,0,0,0,0,0,1,0,1,327478.0
312,5,1453,117,1029,2156,195,216,6.0,28175.0,64.0,-0.015625,-0.015625,0.1974421296296296,0.8762590763282293,0.0,0.0,0.1588235294117647,2.5058823529411764,0,0,0,0,0,0,1,0,0,1,41844.0
97,9,3566,333,2063,18966,561,170,2.0,145077.0,4.0,-0.25,-0.25,0.2008101851851851,0.1013162212337478,0.0,0.0,0.152,17.838,0,0,0,0,0,0,0,0,0,0,173515.0
798,10,25864,1451,3814,23278,647,1113,6.0,660699.0,76.0,-0.0131578947368421,-0.0131578947368421,0.2039351851851852,0.2132224312240738,0.0,0.0,0.3702127659574468,7.474468085106383,0,0,1,0,0,0,1,0,0,1,365858.0
159,10,8516,531,8521,22925,567,2362,6.0,2018982.0,418.0,-0.0023923444976076,-0.0023923444976076,0.2054282407407407,0.6180189052465005,0.0,0.0,0.3764705882352941,9.748235294117649,0,0,0,0,0,0,0,0,1,0,278983.0
814,12,3368,2154,1718,19331,2767,1247,6.0,222417.0,161.0,-0.0062111801242236,-0.0062111801242236,0.2055208333333333,0.79336620349619,0.0,0.0,3.678,24.998,0,0,0,0,0,0,1,0,1,0,365080.0
122,10,1232,203,1787,4100,169,346,6.0,113057.0,336.0,-0.0029761904761904,-0.0029761904761904,0.2061226851851851,0.1317202081096705,0.0,0.0,0.3587786259541984,14.564885496183209,0,0,0,0,0,0,0,0,0,0,65525.0
1186,11,949,452,739,4393,181,28,6.0,585864.0,378.0,-0.0026455026455026,-0.0026455026455026,0.2087384259259259,0.9111979582070504,0.0,0.0,1.2790697674418603,13.093023255813954,0,0,0,0,1,0,0,0,0,1,88588.0
382,10,16080,1575,10328,86064,3588,25895,6.0,2510357.0,12.0,-0.0833333333333333,-0.0833333333333333,0.2094212962962963,0.8976760319112036,0.0,0.0,1.866,74.76,0,0,0,0,0,0,0,0,0,0,885835.0
385,10,3822,947,2566,32835,602,169,6.0,1810375.0,1454.0,-0.0006877579092159,-0.0006877579092159,0.2128356481481481,0.1900361555742769,0.0,0.0,0.8263305322128851,21.30252100840336,0,1,0,0,0,1,0,0,0,0,208842.0
609,10,3234,677,1601,12844,263,134,6.0,1450159.0,157.0,-0.0063694267515923,-0.0063694267515923,0.2163541666666666,0.41796875,0.0,0.0,1.2039473684210529,10.38157894736842,0,1,0,0,0,0,0,1,1,0,81347.0
742,11,993,259,808,3398,182,57,6.0,245386.0,206.0,-0.0048543689320388,-0.0048543689320388,0.2171412037037037,0.0124480519562122,0.0,0.0,0.7102803738317757,16.542056074766354,0,0,0,0,0,0,0,1,0,1,50036.0
936,8,7303,1987,1018,15300,1098,1612,6.0,1481960.0,459.0,-0.0021786492374727,-0.0021786492374727,0.2328819444444444,0.3050985171643307,0.0,0.0,0.558,6.228,0,0,0,0,0,0,0,0,0,1,126513.0
98,10,2918,595,1515,15075,633,100,6.0,2064739.0,360.0,-0.0027777777777777,-0.0027777777777777,0.2330324074074074,0.312186997800086,0.0,0.0,0.1963927855711423,2.615230460921844,0,0,0,0,0,0,0,1,1,0,93380.0
307,11,1493,475,2761,6262,299,1165,6.0,837886.0,67.0,-0.0149253731343283,-0.0149253731343283,0.2403703703703703,0.4032214891422656,0.0,0.0,0.824390243902439,6.995121951219512,0,0,1,0,0,0,1,0,1,0,122077.0
407,10,7341,859,2802,12517,210,55,6.0,366009.0,613.0,-0.0016313213703099,-0.0016313213703099,0.2439930555555555,0.3683582300545968,0.0,0.0,0.2142857142857142,1.8928571428571428,0,0,0,0,1,0,0,0,1,0,168647.0
374,7,1182,588,1248,41216,694,1010,6.0,1675906.0,108.0,-0.0092592592592592,-0.0092592592592592,0.2460300925925926,0.3731196270321911,0.0,0.0,1.0883190883190883,11.037037037037036,0,0,1,0,0,0,0,1,1,0,390675.0
401,11,2003,1210,1455,11462,2193,108,6.0,540096.0,92.0,-0.0108695652173913,-0.0108695652173913,0.2467939814814815,0.1948051948051948,0.0,0.0,1.2444889779559118,6.875751503006012,0,0,0,0,0,0,0,0,0,0,72030.0
803,3,3651,1863,979,16814,950,1770,6.0,194201.0,50.0,-0.02,-0.02,0.2481134259259259,0.1072179665624073,0.0,0.0,1.08,23.84842105263158,0,0,1,0,0,0,0,1,1,0,339180.0
186,6,2296,565,811,22488,1137,339,6.0,1724086.0,608.0,-0.0016447368421052,-0.0016447368421052,0.248125,0.0779220779220779,0.0,0.0,1.168,18.968,0,0,1,0,0,0,0,0,1,0,289004.0
190,11,6936,609,3621,41539,1452,1768,6.0,7907076.0,528.0,-0.0018939393939393,-0.0018939393939393,0.251087962962963,0.1572396508145536,0.0,0.0,1.74,45.67,0,0,0,0,0,0,1,0,0,0,290593.0
459,12,2399,1238,626,14446,249,286,6.0,2177989.0,395.0,-0.0025316455696202,-0.0025316455696202,0.2534375,1.1868510296122785,0.0,0.0,0.28125,2.977678571428572,0,0,0,0,0,0,1,0,1,0,137289.0
801,5,1959,316,1073,2660,164,171,6.0,71338.0,57.0,-0.0175438596491228,-0.0175438596491228,0.2571180555555555,0.0231823359271014,0.0,0.0,0.6055045871559633,8.458715596330276,0,0,0,0,0,0,0,1,1,0,6778.0
810,10,2628,1077,1585,12768,295,82,6.0,766716.0,6308.0,-0.0001585288522511,-0.0001585288522511,0.2601967592592593,0.1665480630382613,0.0,0.0,0.4649122807017544,8.280701754385966,0,0,0,0,0,0,0,1,1,0,109159.0
229,3,695,461,999,27274,375,444,6.0,3894283.0,579.0,-0.001727115716753,-0.001727115716753,0.2639699074074074,0.3731196270321911,0.0,0.0,0.531496062992126,7.169291338582677,0,0,0,0,0,0,0,1,0,0,219854.0
903,10,6222,966,1415,10315,380,997,6.0,571217.0,224.0,-0.0044642857142857,-0.0044642857142857,0.2649305555555555,0.5859189367609208,0.0,0.0,0.4864864864864865,8.857142857142858,0,0,0,0,0,0,1,0,0,1,92279.0
377,3,852,1116,614,11001,756,870,6.0,852445.0,65.0,-0.0153846153846153,-0.0153846153846153,0.2687731481481481,0.3731196270321911,0.0,0.0,1.004750593824228,7.323040380047506,0,0,0,0,1,0,0,0,0,1,209557.0
196,9,1855,82,1946,3530,223,544,6.0,345760.0,143.0,-0.0069930069930069,-0.0069930069930069,0.2724884259259259,0.049533926587652,0.0,0.0,0.1326530612244898,8.46938775510204,0,0,0,0,0,0,1,0,0,0,333679.0
69,7,3205,429,2668,17012,1302,2952,6.0,624333.0,126.0,-0.0079365079365079,-0.0079365079365079,0.2770833333333333,0.3486298798798798,0.0,0.0,0.77,32.498,0,0,0,0,1,0,0,0,0,0,182043.0
1115,13,1714,7060,1558,10514,641,99,6.0,1306282.0,137.0,-0.0072992700729927,-0.0072992700729927,0.2774768518518518,0.5649548847053582,0.0,0.0,0.3890274314214463,4.349127182044888,0,0,0,0,0,0,0,0,0,0,71852.0
1576,3,30153,13300,3810,47190,2850,1231,6.0,1694274.0,276.0,-0.0036231884057971,-0.0036231884057971,0.2808680555555555,0.007168943374958,0.0,0.0,1.802,24.922,0,0,1,0,0,0,0,0,0,0,501707.0
421,9,1152,566,1599,14253,1207,752,6.0,2142321.0,756.0,-0.0013227513227513,-0.0013227513227513,0.2825462962962963,0.1068541723008503,0.0,0.0,2.456,18.95,0,0,0,0,1,0,0,0,0,1,94310.0
371,11,1448,881,3183,24942,345,251,6.0,2049676.0,140.0,-0.0071428571428571,-0.0071428571428571,0.2828819444444444,0.3731196270321911,0.0,0.0,0.5714285714285714,8.761904761904763,0,0,0,0,0,0,0,0,0,0,156606.0
1192,10,2941,681,1327,19069,251,89,6.0,2241784.0,1452.0,-0.0006887052341597,-0.0006887052341597,0.2864351851851852,1.0606214977075905,0.0,0.0,0.5878787878787879,17.618181818181817,0,1,0,0,0,0,0,0,1,0,66458.0
114,8,1640,217,3345,16142,570,327,6.0,165638.0,135.0,-0.0074074074074074,-0.0074074074074074,0.3005208333333333,0.239896010957985,0.0,0.0,1.1691176470588236,29.768382352941178,0,0,0,0,0,0,1,0,0,0,57108.0
213,11,1911,203,1265,8684,323,1366,6.0,444359.0,160.0,-0.00625,-0.00625,0.3050810185185185,0.467089189090303,0.0,0.0,0.69921875,48.29296875,0,0,0,0,0,0,1,0,0,0,158924.0
169,8,6500,330,5382,22184,407,2100,6.0,86205.0,23.0,-0.0434782608695652,-0.0434782608695652,0.3073842592592593,0.1230595227534817,0.0,0.0,0.2416666666666666,21.319444444444443,0,0,0,0,0,0,0,1,1,0,477104.0
611,10,10350,842,3561,28600,797,701,6.0,1870828.0,190.0,-0.0052631578947368,-0.0052631578947368,0.3157175925925926,0.0631281613348223,0.0,0.0,2.390180878552972,25.186046511627907,0,0,0,0,1,0,0,0,1,0,138251.0
