发送时间,视频内弹幕出现时间,弹幕文本
1677024784,83.54100,按照张学峰说的，西安建筑科技大学不是很牛逼的吗？
1676979456,110.22100,18年就18年啊，差别不大
1676959647,96.32900,1918的10w
1676819112,63.03300,说下在哪个城市呀
1676804624,150.76500,现在五险一金齐全也没啥用咯。医保，养老，住房公积金哪个是有用的。。。
1676789322,93.33400,牛逼
1676772261,168.38200,挺好的啊
1676772135,50.03400,确实不可思议
1676727302,132.33200,+++++++
1676719312,24.24900,？
1676718764,18.64700,榆林学院吗
1676717440,58.44500,地狱开局
1676717384,23.17900,西安建筑科技大学？
1676716766,155.46800,仔细想想这种稳定与坐牢何异？人类真悲哀。
1676715668,20.12400,西安建科？
1676714849,21.35600,?谁问你了
1676714716,52.15900,？
1676713970,170.33900,给排水
1676713709,30.33900,？
1676713623,157.37900,很不错了
1676713441,30.75600,？这和发展的如何有关吗
1676713151,48.12500,看透红尘
1676746554,25.29900,呃呃
1676730772,56.63500,？？？？
1676718446,55.64900,正常，我现在都想出家
1676717395,32.33700,哈哈哈哈笑死这什么鬼
1676714556,49.20900,????
1676714336,49.93100,？？？
1677147843,26.34100,好家伙
1676986882,32.76900,？？？
1676911504,26.23000,西安财经大学19年升的一本
1676740151,49.13800,我去
1676730086,73.61000,父母体制内学造价？
1676729524,55.51700,？？？
1676714816,48.89800,读研确实是压制自身最厉害的一个阶段
1676713971,54.56200,？
1677136572,32.85100,大提琴哈哈哈搬到草坪上不累吗
1676979184,22.06100,？你相亲来了
1676789284,53.75000,牛逼
1676739558,97.57500,TMD！18年的10万也没有多少好吗！
1676729775,83.95600,18年的10万
1676725020,26.36900,建大没有工程造价，也一直是一本招生。
1676715111,54.55100,??????
1676899102,47.08200,满头问号
1676883180,53.66400,啊
1676867094,32.88500,？？？
1676807839,27.51900,西建还二本呢
1676801871,52.44200,？
1676719006,27.66000,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1676714722,47.58500,？
1676986910,47.00900,？？？
1676860324,46.80100,6
1676780115,106.24400,18年10万和现在没多大区别
1676735933,113.82500,学土木还有好看的？
1676718153,50.21800,？？
1676713559,33.21800,？
1676713500,28.36800,？？？
1676944957,46.76100,？
1676823190,102.30100,10w年薪也要8000月薪了，不算低了
1676819255,28.69900,财经
1676805110,33.76000,？？？
1676715454,51.44800,和尚工资高
1676713503,51.43800,逆天！！！
1676728277,51.40500,？？？？？
1676727492,29.81900,6
1676719476,51.15000,？？？
1676719073,34.09200,哈哈哈哈哈哈哈哈哈哈笑死了好可爱
1676713134,46.54600,？这么多期最不可思议的
1676714449,50.70700,？？？？
1676713185,50.77900,我去。。。
1676979223,48.62100,？？？？？？
1676866598,121.93900,主人公学造价的。。
1676827250,60.74100,我男生，一个月800
1676811346,45.65900,仙交?
1676808307,82.23500,肥宅
1676772102,27.94000,西建是一本
1676731476,50.33900,??
1676714930,27.90300,是女生视角
1676714703,37.25900,大学里学习咋样参加了啥你是啥也不说，光羡慕人家长相了是吧
1676714537,24.93400,为啥介绍起长相了？
1676714018,38.62200,啥
1676713585,44.97900,？？？？？？？
1676713573,80.53900,纯宅女
1676713469,49.35400,？？？？？？？？？？！！？！！！？？？？？？？？？
1676713433,21.91400,？？？？？？？？？？？？？？？？？？？？？？？？？？
1676713194,58.65900,真可怜
