上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676780302,20,96,True,False,我爸妈说，能把你生下来养大，没饿死就不错了……
1676728120,20,109,True,False,今年23，网络工程，去年毕业回家，因为疫情原因在家附近做了半年的客服工作，这个月初过完年找了个运维工程师的工作，每天工作八小时，主要是看软件运行情况，90％的时候是闲的，都在玩手机，偶尔看看电脑，上三天休一天（不加班），工资4500（后），在海口也算不错了，开始打算去做开发的，但是需要的条件比较高，努力努力也可以够得到，现在摇摆不定，想听听大家的意见。
1676725905,33,151,False,True,当年我爸成天让我报土木机械水利桥梁工程专业，但是我不惜和他大吵一架，选择了软件工程专业。
1676746672,14,65,False,False,皮哥给你补充第三张牌：婚姻。婚姻也是能改变命运的，所以要慎重
1676732909,19,50,False,False,up主隔壁的，我爸当年让我报计算机，我妈让我报金融，我都直接pass了，选了个机械，就想当钢铁侠[辣眼睛]结果现在干起了苦逼审计，拿的还没我干机械一半多
1676729150,5,39,False,False,还练个昆八小号，恨不得把服务器炸了
1676776623,1,26,False,True,皮哥讲的很真实，21届机械，入职工程局物资部一年半，攒了一笔钱，去年11月22号裸奔，目前在老家找了个偏僻的厂子，双休早八晚五，到手4000左右，算个运气好一点的普通人吧，唉，明天上班了[脱单doge]，后面打算做自媒体
1676741284,3,29,False,True,希望有的人稍微理解下，计算机再凉，也已经比大多数学科要好了，并且是好挺多，甚至打个比方，再过20年也很难被类似土木反超
1676726473,9,28,False,False,说实话兄弟，现在这个网络这么发达的社会。大学4年就算浪费了，重新静下心来认真学习新的赛道也不是不可以，半年时间自学码农或者网工，一样可以换赛道。本科那张纸那张敲门砖的纸并不认你专业的[呲牙]认真投入学个半年，然后下一份简历直接改写自己的专业，hr最多只看纸的真假，专业的真假是从你具体的事情上看的
1676731125,2,24,False,False,普通人家的孩子，选专业是没有人给你建议的，只能开盲盒，所以这张牌基本也就不存在
1676726629,14,20,True,False,其实也别太灰心，我有个朋友他爸还当过代理县长呢，最后给儿子选的也是土木
