发送时间,视频内弹幕出现时间,弹幕文本
1676429301,3.60600,我的妈啊，满满的压迫感
1676384170,130.55600,哇！哇！超大声！好美！
1676384058,64.40100,哈哈哈哈哈哈
1676381300,90.20700,痛
1676339542,35.98800,注意，这是夕阳
1676302319,78.01700,狗子错付了，竟然这一瞬间好伤感
1676302268,45.41700,生活充满了坎坷
1676265119,156.32300,一杯敬死亡，歌词被改了
1676258842,47.97800,哈哈哈哈哈哈哈
1676251603,26.73100,给老子shi/doge
1676195025,3.92500,馍馍热门第一呀！
1676190332,70.75500,《以乐景衬哀情》
1676183448,11.69900,他说甚至卡了个点
1676164585,130.65700,这是国外的小乡村，至少不是国内
1676125171,190.33700,《荒唐》
1676112401,98.22300,没憋住哈哈哈哈
1676094344,60.70400,《相亲》
1676093237,170.23400,草，这是我干过，小时候水上全是浮萍，以为是平地就一脚踩进去了
1676049290,3.67200,开impa？
1676045615,55.86300,好羡慕这只狗可以生活在这么美的地方
1676042477,106.93000,燕咋
1676037234,22.25900,毛不易《消愁》-曾经火遍大江南北的歌
1676030731,13.14500,面对亲戚的你
1676026664,4.15900,《欢乐场》
1676023147,36.20100,《对自己说》
1676018239,101.52200,孙红雷
1676013060,12.29400,拟态而非求真
1676013039,83.93800,燕子燕子没有你我可怎么活呀
1676011810,196.93800,消愁-毛不易 最新Mv
1676010576,18.22900,不能喝就去小孩那一桌，你看你醉的，起不来了都
1676003143,63.40800,这个南北要上西天啊
1676002742,43.43000,哈哈哈哈苏州平江路
1676002352,130.57600,悬疑现场？是个什么东西
1675990473,183.02400,泪目
1675981147,85.22100,草……心疼起来了
1675959389,88.71400,没有你 我可怎么活啊 燕子
1675958369,151.50600,本来还觉得这首歌挺悲伤的。。。
1675956313,127.82700,这个地方好漂亮，感觉适合做外国小说的悬疑现场
1675955638,4.51800,味肯定很重
1675955204,134.91500,《成长》
1675951890,192.65200,假寐
1675951590,21.96900,看过一个全猫的版本
1675951299,106.99900,燕子，没有你我怎么活呀
