发送时间,视频内弹幕出现时间,弹幕文本
1676502789,431.82000,刚子这里好像一只仓鼠哈哈哈哈哈
1676486054,149.88000,好可爱的表情包
1676484632,374.13900,《他总是只留下电话号码》
1676480199,512.56300,绷不住了
1676476265,36.69000,这个角度好像高启盛
1676473994,477.43500,不，我记得以等条很痛苦
1676473713,61.01700,那你就答应阿姨呗
1676473561,496.99800,升华主题
1676473390,325.62600,小黑子食不食油饼
1676472930,428.83400,哈哈哈哈，冷到我了
1676469256,500.22200,可我并不知道自己喜欢什么
1676468709,55.82800,几颗花生米啊，喝成这样
1676468421,444.17900,正片开始
1676467471,415.19000,三室一厅，三室一厅
1676467411,255.59800,全键有冲？IDEA快捷键：你礼貌吗
1676467199,312.00200,厉害了
1676465111,296.25700,哈哈哈
1676463315,109.63700,好看
1676461992,214.14200,前方截图选老婆
1676460258,320.22200,压力马斯内
1676456467,389.13000,大型表白  失败现场
1676455511,121.39800,我确实挺喜欢的，一直想在家里整一个
1676454392,371.32900,防患于未然
1676451857,136.21700,姐姐你是厉害呀
1676450449,50.02500,好多腿毛哈哈
1676450029,485.27200,你有很多事放不下吗，做人要潇洒一点
1676449818,365.24800,@王炸天
1676449403,421.02200,流汗黄豆
1676442967,261.42300,全键双冲打字机本身特性也封里面了不愧是程序员
1676440708,456.91400,又升华了。
1676440620,522.08400,哈哈哈哈哈哈
1676440467,425.88300,哈哈哈哈哈哈
1676440303,390.20600,滤镜开过了
1676439357,405.79300,?
1676438807,290.99500,创意不错啊，又离谱又科技，doge
1676438563,72.43200,笋到家了
1676437068,500.95200,自己不点关注的屑
1676436446,15.63400,哈哈哈好像黄旭东
1676436282,382.17100,全体起立！
1676436255,365.66000,你可要好好的啊蛋爷
1676436189,253.57900,离职量产吧
1676436077,187.77800,成分复杂
1676435861,408.05100,盲猜加班改方案
1676432876,372.97600,？
1676432624,80.06300,猫猫很可爱啊
1676432419,201.88300,笑死，看来是知道三顿饭都只请方便面了
1676431732,377.16800,哈哈哈哈
1676430927,49.69900,留意房東原來是同事
1676430880,401.92500,6
1676429061,412.21100,怎么不算呢？
1676427604,408.07500,听到你心动吗？这个
1676427590,402.27500,有那个葛优味
1676395741,533.90700,都是你老婆
1676393623,390.97500,还是喜欢情人姐
1676392861,384.69200,这公司姐姐颜值都好高啊！
1676392491,164.35800,哈哈哈 好伪装！！
1676390058,55.68900,你为什么不租李阿姨的房子？
1676388242,242.68200,这个不是强盛虎哥吗
1676381838,13.88600,打断施法
1676380321,411.51800,cpu
1676374514,225.58500,姐姐好漂亮
1676367882,51.13900,你这表情包都对不起你这花开富贵的名字。。
1676366217,33.22800,姐姐打我
1676360750,65.79500,1万亿
1676360219,395.26000,一张纸 撂很多~~~
1676360186,275.45800,小米粥.jpg
1676355906,506.52700,已经关注了
1676352309,450.97100,开始抽象
1676352031,128.68100,压缩毛巾（确信）
1676350972,10.97600,6
1676350635,421.45100,这女的好会啊
1676350567,373.85000,她已经表白了，哈哈哈哈
1676341779,439.35000,合理怀疑只是用借口和美女们聊天
1676319360,142.77300,压力有点大啊
1676315904,423.05800,请动员所有同事，尽快实现日更
1676315066,219.15700,用的Arduino嗦
1676310921,433.65300,刚子还是一如既往的好基友属性啊
1676310838,378.57300,啊啊啊啊啊啊啊啊！！！！！我的情人姐
1676303925,426.71800,5.20是在暗示喜欢卤蛋吗
1676303911,425.29400,玩尬的是吧
1676303426,409.46700,姐姐可爱！
1676302785,283.89500,chatgpt考虑考虑？
1676302142,528.02700,纱窗姐去哪里了
1676301714,23.05000,？
1676299482,206.55000,立创eda可还行
1676297756,408.25400,哦那倒不是因为这个
1676296598,410.08400,说谎的时候停顿加眨眼睛
1676296329,169.92500,？
1676291923,340.37400,严谨
1676291878,303.30300,篮球拉毛球蓝球
1676289872,15.33900,憋死了
1676288095,374.20600,哈哈哈哈哈哈
1676287680,463.56100,开始狡辩
1676286721,434.65900,好好看
1676286093,397.38500,情人姐眼神又勾芡了哈哈哈哈哈哈哈
1676285625,158.03500,魔法少女初音未来
1676285553,436.35900,刚子我的刚子，没你的直播我睡不香啊
1676285460,396.33800,不愧是卤蛋亲妈，这么给面子配合(doge)
1676284725,470.79500,我有一个朋友
1676283912,187.47900,11.4k
1676283896,534.54200,老婆！！！！
1676283743,100.99900,刚子！
1676283671,428.24900,好冷
1676283308,135.02700,哈哈哈哈哈哈哈哈怎么这么大啊
1676283239,118.55800,刚子:6
1676283059,371.90600,kdl
1676282953,23.06000,我好想你啊卤蛋
1676282756,395.54000,阿瑟again
1676282654,348.26500,阿瑟：在做，真的在做了
1676282482,236.47900,好帅啊
1676282430,528.73200,可爱可爱
1676282320,433.70300,志刚好美
1676282319,93.09700,万血奶丝
1676282297,414.02600,逆天
1676282284,401.37300,现在是 幻想时间
1676281882,334.09400,旋转の小曲（
1676281829,270.04900,《优美》
1676281438,192.21600,你们公司都这么抽象吗 笑死
1676281291,425.65800,老活新整
1676281278,85.97400,好多奥特曼
1676281180,32.75700,真实
1676281120,404.74600,6
