上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676161119,1,13,False,False,我是马克思主义的爱情观，所以感觉好像融入不了这个所谓快餐式恋爱的时代[呆]
1676004262,2,25,False,False,infj我们内部消化一下如何[吃瓜][doge]
1676045358,2,19,False,False,无所谓 先寡着[doge]本infj就是会有暧昧期和依赖期但是从来不开展所谓的感情
1675921803,0,23,False,False,理想伴侣=不存在
1675925424,0,22,False,False,太难了，找不到，所以我决定寡着。
1675917142,0,18,False,False,"长的好看，不断学习，品行端正的，
当然我也会做到以上三点。"
1676478751,0,0,False,False,理想是懂得尊重，头脑清醒，没有暴力倾向[脱单doge]还有起码的个人卫生。
1675997539,0,7,False,False,所以我单身了三十多年[笑哭]这辈子可能是寡王
1675900651,0,8,False,False,好看，我喜欢，聊得来合三观，思想道德端正
1676075099,2,2,False,False,遇到一个各方面都很符合我的enfp   可惜他不喜欢我   可惜我现在也不那么喜欢他了   可是他这样的确实难找
1676174989,1,1,False,False,蹲一个浙江的infj。。Σ(゜ロ゜;)
1676086406,0,2,False,False,本infj 和infj 在一起了
1676011648,0,1,False,False,单了6年和intj在一起了～
1676093490,0,0,False,False,本infj很喜欢一个enfj，其实爱好什么都很相似，却感觉在各方面根本性上的都有无可避免的分歧，命运的不能在一起吧
1676043686,0,0,False,False,没有对象[委屈][委屈][酸了]，本人侄女[doge]，本来找对象就难，现在更难了
1676085358,2,0,False,False,我infj，想找enfj
