tag_id,标签名,标签描述,订阅数,使用次数
74378,设计,,120691,1145991
28310,视频教程,,52427,2485361
1939,漫游,,347,18259
1697,教程,,295974,3616861
45732,全景,,571,13215
626911,效果图,,371,39724
86776,室内设计,,109650,443558
2776643,生成,,1,1210
4529658,酷家乐,,29,3356
40758,专业,,504,68825
183540,公务员考试,,4954,241066
590549,行测,,2142,132530
213551,公务员,,31137,457030
854070,上岸,,134,57527
1620185,省考,,1807,276187
1767295,国考,,1817,387852
16163124,公务员专业,,0,5
47481,职场,,126546,740718
21316,工作,,2140,581805
105130,自我介绍,,485,75823
3086064,职场沟通,,12,1455
9617664,职场关系,,3,392
31947836,职场新人进化论,,0,12507
34876775,校园星发现·up！开学啦,,0,108762
466887,有声书,,2814,124116
2739,演讲,,476979,364222
40328,读书,,33252,1085075
12490617,陶峻,,0,26
23035744,成信听书,,0,55
29421761,演讲的逻辑,,0,20
1808,投稿,,99,26132
1419265,人民邮电出版社,,0,65
8029939,五顿,,0,21
8573950,今日学习打卡,,2,186417
82154,问题,,16,41872
18134785,细胞库,,0,9
20453596,冻存管,,0,11
1451790,制药,,17,1327
81374,律师,,1229,202418
14508,美图,,18620,283134
5590,法律,,103121,173121
11709419,工作氛围,,0,29
28573752,律职,,0,139
28573757,律钻人生,,0,138
28573758,律钻奖,,0,138
33186535,寻找100位内行人对谈,,2,21940
5708652,法务,,29,1595
32126148,分享我的职业故事,,0,14117
12082412,排列五,,2,1435
13295665,排列三,,6,4195
31664105,考研人哪有不疯的,,0,7907
4175110,工程造价,,689,40585
3459,人生,"理科生、文科生、体育生…总有一款是你的菜！美少女教你做人！
九文学园第二新闻部所属的赤松勇树，某一天被社长二阶堂彩香指派负责撰写校内新闻的新专栏“烦恼咨询”（人生咨询）。但是彩香不放心把报道交给勇树一个人，因此找来了三名“回答者”——理科代表的远藤梨乃、文科代表的文、体育科代表的铃木郁美协助勇树，勇树必须把她们三个人的回答总结起来并作成报道……
",5081,785506
13160,学习,,1635975,13285715
976,励志,,89041,1190629
202434,自律,,6569,306974
8519,努力,,2669,360846
7760572,自律学习,,61,628
140424,结构,,196,16742
35527249,情人节捡垃圾,,0,8812
646053,消音器,,51,1151
35076622,“遇见你，怦然心动”2023情人节活动,,1,179460
34948831,今天也要好好工作,,1,50142
10556973,电商干货,,34,11795
11280136,货源网站,,0,114
22386429,新品起款,,0,274
634574,经验分享,,39624,3198184
1780308,拼多多,,4251,242593
2752213,一件代发,,21,2649
3278671,新手开店,,7,5257
3814352,电商运营,,327,70770
8154739,拼多多运营,,80,46366
511548,模板,,238,87769
453766,PPT动画,,445,10810
27233,PPT,,2269,87682
1607676,PPT模板,,237,34183
193008,框架,,48,15200
32613,面试,,95600,580768
1129266,公考,,2144,292212
1513366,公务员面试,,1061,48408
1719077,结构化面试,,1036,60228
3371188,公考面试,,188,9748
3952384,事业单位面试,,296,12561
4149,教育,,67896,3647410
482819,基础知识,,102,9351
6280,事故,,1275,162059
32218,安全,,738,210384
294605,安全教育,,106,19262
3776512,安全培训,,5,1361
4086202,安全管理,,10,1547
9063834,hse,,0,236
24109211,动态日历,,0,8
26839352,excel表单制作,,0,5
35555192,excel动态日历,,0,1
35555200,excel日历表,,0,1
20736,EXCEL,,2263,59262
282000,日历,,11,17458
1518432,EXCEL教程,,2091,36126
2561467,办公软件教程,,153,324
7306250,日历制作,,0,14
7383988,EXCEL技巧,,1418,29214
27144605,热电知识,,1,231
35532010,水煤比,,0,1
1618707,锅炉,,9,3914
6237752,热电,,0,590
19006350,直流锅炉,,0,14
121660,求职,,3168,433578
49526,找工作,,1229,194232
3290731,招聘会,,4,561
3473023,春招,,71,27580
7684320,同城招聘,,0,37
15775524,必剪创作,,75639,71073215
18148804,春招求职攻略,,0,119
9305,成功,,594,90722
11666095,六西格玛,,103,1912
67304,工程师,,165,35615
820772,企业管理,,234,42606
2921403,8D,,1359,4846
3347834,精益,,2,1225
4116532,质量工程师,,7,263
10278427,精益六西格玛,,9,471
788246,机械设计,,1407,88708
1396606,三维建模,,498,57656
2774783,SolidWorks,,349,12931
3486540,建模教学,,1,1155
30416544,商品课程,,0,224
30416824,服装商品课程,,0,222
2759668,连带率,,0,7
3745748,商品管理,,4,742
21601158,服装商品管理,,0,294
11470476,电商兼职赚钱,,5,1217
527951,电商,,821,213969
984407,淘宝开店,,178,102410
1511191,淘宝运营,,423,68480
1884796,淘宝店铺,,1007,40522
3525369,淘宝新手开店,,5,11300
4198820,店铺运营,,3,2196
4443566,电商创业,,34,9543
7403070,创业开网店,,16,2549
3206080,地理知识,,35,4205
945592,环境工程,,216,1031
1415061,政策,,100,11985
3527056,发展规划,,1,84
169933,入门,,1482,154155
25166319,报表监控,,0,18
910892,数据分析,,1833,78240
3039566,Power BI,,170,1386
3269802,学习心得,,43643,1722090
7948763,零售企业,,0,40
35048902,我最值得分享的职场经验,,0,2948
605361,数据可视化,数据上下代表着的起伏，或许你也感同身受,254230,124475
218781,函数,,830,57044
112062,公式,,117,21533
904182,经济法基础,,574,20448
890183,经济法,,307,27292
5877342,中级会计考试,,2,2160
128384,创业,,8021,1136354
155420,赚钱,,5520,898190
158158,副业,,1019,251005
23901,互联网,,9149,968150
205350,搬砖,,654,125025
4143168,教资,,261,59682
4391516,在家赚钱,,13,1165
5295738,手机兼职,,12,1678
827562,新手小白,,2,6337
691014,适合,,1,10627
564859,项目,,127,79288
322997,门槛,,0,1514
10108660,零撸,,4,2533
12288347,可视化大屏,,3,573
60471,数据,,1611,85194
25033,实战,,521,164197
45915,秘籍,,24,6895
288987,大屏,,7,2980
14932,程序员,,38665,681392
28784,编程,"编程是使用指令操控计算机的过程。操控计算机的指令统称编程语言，并分3大派：机械语言，汇编语言及高级语言。机器语言为低级的2进制码，仅在该机器语言的机器体系上适用，汇器是机械语言的基本翻译，但可读性/兼容性还是很差。高级语言是所有非汇编/机器语言的集合，一般可读性/兼容性更高。高级语言分多类，如：面向过程(Procedure Oriented)，面向对象(Object Oriented),多多重编程范式(Multi-paradigm),函数式(functional)，静态/动态(static/dynamic)等等。机器语言，汇编语言&amp;大部分高级语言都是图灵等价和图灵完备的，也是说机器语言，汇编语言&amp;大部分高级语言都可以模拟单带图灵机，并单带图灵机可以模拟说机器语言，汇编语言大部分高级语言。非图灵完备的计算机语言为DSL(领域特定语言),只适用特定的场合，如latex，yacc及lex。",445673,1243698
419559,SSM,,56,59840
2536100,Java,,1129,127901
2607900,idea,,27,3732
2651024,java编程,,58,4980
2696795,spring,,84,10730
3494362,java培训,,7,1226
4390514,架构师,,612,61199
4667506,mybatis,,27,3168
35584564,体系的适宜性指的是什么（IATF1694,,0,1
142297,拖延症,,1294,11459
259324,思维,,1625,83279
1332043,升职加薪,,47,5355
2762941,工作效率,,98,1331
3501383,高效工作,,7,647
5280310,番茄钟,,51,1471
6666102,时间管理大师,,4,1224
509884,城府,,11,838
194163,人际关系,,4240,52920
27741444,每天分享一个财税知识,,0,151
2839511,工商知识,,0,21
9951074,财税知识,,10,6705
6262,语文,,12645,322653
74685,小学,,672,163582
4078400,教师资格考试,,20,1549
1101290,金句,,79,30717
34915142,面试技巧大赏,,0,89
11862,销售,,317,48190
1768303,销售技巧,,56,4516
5404824,销售话术,,12,1748
7522907,大客户销售,,0,505
32649,MVP,,20,25167
2643984,Excel,,866,17761
2669740,数据透视表,,59,1865
4752358,DAX,,16,774
9053281,Power Query,,44,514
9053282,Power Pivot,,3,204
