爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1676508825,436923382,1009675423,253457762,酷家乐2023如何生成全景漫游图,郭一绪,1676507400,1676479898,234,酷家乐2023如何生成全景漫游图,职业职场,209,9,设计;视频教程;漫游;教程;全景;效果图;室内设计;生成;酷家乐,74378;28310;1939;1697;45732;626911;86776;2776643;4529658,0,0,0,0,0,0,0,1,0,1,0,无,无,无
1676508828,224397131,1009599954,20672776,这几个专业最容易上岸公务员,皋陶治狱,1676507100,1676473570,182,"公务员备考一份足以。【闲鱼】https://m.tb.cn/h.UO9k21B?tk=LSdUdgDv7iZ CZ3457 「我在闲鱼发布了【23公务员国考省考市考笔试一份足矣】」
点击链接直接打开",职业职场,209,8,专业;公务员考试;行测;公务员;上岸;省考;国考;公务员专业,40758;183540;590549;213551;854070;1620185;1767295;16163124,1,2,0,1,0,3,2,5,44,1,0,无,无,无
1676508831,481888258,1009955255,3493079099115561,在职场自我介绍如何让人印象深刻一下子记住自己,郑春方,1676507052,1676507052,91,-,职业职场,209,7,职场;工作;自我介绍;职场沟通;职场关系;职场新人进化论;校园星发现·up！开学啦,47481;21316;105130;3086064;9617664;31947836;34876775,0,0,0,0,0,1,0,0,0,1,0,无,无,无
1676508834,566935739,1009936364,386725509,【演讲的逻辑】第五章 30个演讲应用场景(2/9),成信听书,1676506951,1676506951,754,"内容简介  · · · · · ·
《演讲的逻辑：关键时刻真实、清晰、高效表达》是一本实战演讲指南，针对实际需求，以手册形式展示了演讲的6种学习方法、12个技巧锦囊、18种训练方法、30个沟通场景，对演讲给予全面指引。
跟随本书，萃取演讲逻辑，以演讲拓宽沟通的边界，决胜关键时刻。具体而言，包括但不限于以下收获：演讲不再焦虑；开口就能打动他人；以表达驱动阅读、驱动思考、驱动成长；在职场协作、家庭关系、个人发展等方面表现卓越等，更重要的是，直接提升沟通效能，即学即用，让你在任何情况下都不慌不惧；得体",职业职场,209,10,有声书;演讲;读书;陶峻;成信听书;演讲的逻辑;投稿;人民邮电出版社;五顿;今日学习打卡,466887;2739;40328;12490617;23035744;29421761;1808;1419265;8029939;8573950,0,0,0,0,0,1,0,0,0,1,0,无,无,无
1676508838,736990327,1009948747,700267386,optistruct结构31-消音器前盖RADSND分析水一下问题,纪录自学的游子冲,1676506869,1676506869,657,,职业职场,209,3,问题;职场新人进化论;校园星发现·up！开学啦,82154;31947836;34876775,0,0,0,0,0,1,0,1,1,1,0,无,无,无
1676508841,524128681,1001600708,1951771832,细胞库的均匀性确认？,识林ShilinX,1676506800,1676011939,295,识林课程《细胞库建库过程中确认项目及实施策略》,职业职场,209,3,细胞库;冻存管;制药,18134785;20453596;1451790,0,0,0,0,0,0,0,0,1,1,0,无,无,无
1676508843,821896071,1009926199,688432269,人生不设限的美丽法务之路 | 美图法务刘心敬分享美图现在的工作氛围,律职,1676506729,1676506729,73,,职业职场,209,10,律师;美图;法律;工作氛围;律职;律钻人生;律钻奖;寻找100位内行人对谈;法务;分享我的职业故事,81374;14508;5590;11709419;28573752;28573757;28573758;33186535;5708652;32126148,0,0,0,0,0,1,0,1,1,1,0,无,无,无
1676508846,436962558,1009952694,3493121186859603,2.16 排列三\五 规律预测参考,排列五课堂,1676506716,1676506716,611,-,职业职场,209,4,排列五;排列三;考研人哪有不疯的;校园星发现·up！开学啦,12082412;13295665;31664105;34876775,0,0,0,0,0,1,1,0,10,1,0,无,无,无
1676508850,394386523,1009950575,698877873,4.2 钢筋工程争议难点,猫咪的虎爪,1676506610,1676506611,1029,,职业职场,209,3,寻找100位内行人对谈;工程造价;分享我的职业故事,33186535;4175110;32126148,0,0,0,0,0,1,0,0,2,1,0,无,无,无
1676508853,991944934,1009936859,3493104944417021,自律和不自律，都会吃苦，不同的是，自律的苦会让人生越来越甜 --  《人民日报》,要努力的兜兜,1676506592,1676506592,74,-,职业职场,209,8,人生;学习;励志;自律;努力;自律学习;职场新人进化论;校园星发现·up！开学啦,3459;13160;976;202434;8519;7760572;31947836;34876775,0,0,0,0,0,1,0,0,2,1,0,无,无,无
1676508855,481935682,1009946632,700267386,optistruct结构30-消音器前盖RADSND分析后处理,纪录自学的游子冲,1676506402,1676506402,510,,职业职场,209,4,结构;情人节捡垃圾;消音器;“遇见你，怦然心动”2023情人节活动,140424;35527249;646053;35076622,0,0,0,0,0,1,0,0,0,1,0,无,无,无
1676508856,394425191,1008508486,591228444,新手做拼多多店，只需要知道这几个代发网站，几毛就能搞定,多多学堂妞妞,1676506200,1676423445,135,新手做拼多多店，只需要知道这几个代发网站，几毛就能搞定,职业职场,209,10,今天也要好好工作;电商干货;货源网站;新品起款;经验分享;拼多多;一件代发;新手开店;电商运营;拼多多运营,34948831;10556973;11280136;22386429;634574;1780308;2752213;3278671;3814352;8154739,0,0,0,0,0,0,0,0,2,1,0,无,无,无
1676508857,394385320,1009494054,1985523680,PPT模板：喜庆晚会第006,贝比图文PPT,1676506200,1676468862,200,PPT模板：喜庆晚会第006,职业职场,209,4,模板;PPT动画;PPT;PPT模板,511548;453766;27233;1607676,0,0,0,0,0,0,0,0,1,1,0,无,无,无
1676508859,566887186,1009941613,442346549,【框架19】结构那么重要，扣题那么重要【公务员面试-公考面试】,老夏说公务员面试,1676506177,1676506177,344,,职业职场,209,10,结构;公务员;框架;面试;公考;公务员考试;公务员面试;结构化面试;公考面试;事业单位面试,140424;213551;193008;32613;1129266;183540;1513366;1719077;3371188;3952384,4,0,0,5,0,15,4,2,1043,1,0,无,无,无
