爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1676598554.275921,436923382,酷家乐2023如何生成全景漫游图,郭一绪,253457762,0,0,0,2,1,0,1,19
1676598554.389537,224397131,这几个专业最容易上岸公务员,皋陶治狱,20672776,5,12,0,8,20,18,8,679
1676598554.55264,481888258,在职场自我介绍如何让人印象深刻一下子记住自己,郑春方,3493079099115561,0,0,0,1,2,0,0,4
1676598554.664067,566935739,【演讲的逻辑】第五章 30个演讲应用场景(2/9),成信听书,386725509,0,0,0,0,1,0,0,2
1676598554.7826982,736990327,optistruct结构31-消音器前盖RADSND分析水一下问题,纪录自学的游子冲,700267386,2,0,0,0,3,2,1,18
1676598554.9105036,524128681,细胞库的均匀性确认？,识林ShilinX,1951771832,0,0,0,0,0,0,0,3
1676598555.021441,821896071,人生不设限的美丽法务之路 | 美图法务刘心敬分享美图现在的工作氛围,律职,688432269,0,0,0,0,1,0,1,7
1676598555.131051,436962558,2.16 排列三\五 规律预测参考,排列五课堂,3493121186859603,0,0,0,0,7,1,0,262
1676598555.4175243,394386523,4.2 钢筋工程争议难点,猫咪的虎爪,698877873,0,0,0,2,3,0,0,9
1676598555.532051,991944934,自律和不自律，都会吃苦，不同的是，自律的苦会让人生越来越甜 --  《人民日报》,要努力的兜兜,3493104944417021,0,0,0,0,1,0,0,34
1676598555.6973963,481935682,optistruct结构30-消音器前盖RADSND分析后处理,纪录自学的游子冲,700267386,0,0,0,0,1,0,0,13
1676598555.8735182,394425191,新手做拼多多店，只需要知道这几个代发网站，几毛就能搞定,多多学堂妞妞,591228444,0,0,0,1,0,0,0,9
1676598555.9895008,394385320,PPT模板：喜庆晚会第006,贝比图文PPT,1985523680,0,0,0,0,0,0,0,2
1676598556.1056461,566887186,【框架19】结构那么重要，扣题那么重要【公务员面试-公考面试】,老夏说公务员面试,442346549,11,1,0,39,62,9,7,2560
1676598556.351541,991993150,安全基础知识课程,生产安全管理网,435800723,2,0,0,7,8,3,1,106
1676598556.5335238,779409965,真能记录千百年数据的“EXCEL动态日历表”如何制作？速来收藏！,江湖小乐,356377262,0,0,0,0,2,3,1,22
1676598556.6856618,779329460,燃煤直流锅炉水煤比你真的知道有哪些区别吗,bili_89821385903,689649921,4,0,0,4,7,2,0,66
1676598556.7975514,736946563,超好用的春招求职经验！放开后的第一场招聘会，如何有效地增加面试的成功率？来自up的实地攻略分享！,爱学习的秦小猫,1022957231,0,0,0,0,0,0,0,9
1676598556.9155674,651920268,优思学院｜精益六西格玛黑带的秘密：成功的关键技能,优思学院,497199631,0,0,0,0,1,0,0,20
1676598557.0275106,479494993,Solidworks自定义快捷键在哪里设置,每天学机械,1867644774,0,0,0,0,1,0,3,14
1676598557.1424012,309106492,连带率现状分析与提升方案解析（上）,时尚商品管理,1189538851,0,0,0,0,0,0,0,0
1676598557.2645829,481769260,淘宝运营 ——如何优化搜索流量，淘宝运营如何提升店铺销量？,暴走萝莉one,481703847,0,0,0,1,1,0,0,5
1676598557.3784535,351935861,环境工程｜掌握点地理知识，政策了解不迷糊？,要生活可爱的huihuiCui,1950866752,1,0,0,0,4,0,0,8
1676598557.5026155,694241387,Power BI 视频课DAX Studio & Tabular Editor 安装(4/39),焦棚子,479101267,2,1,0,3,7,0,0,69
1676598557.6225235,609374219,动态实现折现图中已发生的月份和未发生月份分布用不同颜色和线表示,大表姐Vivian_Wang,476198989,0,0,0,1,1,0,0,14
1676598557.832591,309495607,中会《经济法》每日一练第651天，综合题（1-3）甲公司是否有权要求丙公司在4月2日之前不要出售其从乙公司购买的产品,老冯讲会计,602727723,0,0,0,0,1,0,0,3
1676598557.9435172,991954079,少一些埋怨，多一些努力,梦幻西游小鬼谷,1806482147,4,0,0,0,22,8,0,404
1676598558.0653272,651875055,与天学社：教资考证搬砖，月收入6000+，宝妈可做,与天说副业,3493116862532262,0,0,0,0,0,0,0,8
1676598558.1825628,308666281,零撸搬砖小项目，每天轻松100+！无门槛，适合新手小白党！,与天网创,3493075942901795,0,0,0,1,0,0,0,27
1676598558.2976303,266793047,Excel数据可视化大屏最吸引你的地方是什么？,Excel咨询顾问,545905261,2,0,0,8,5,0,0,98
1676598558.4055097,436842316,【MyBatis-Plus开发实战】ActiveRecord【java-SSM开发实战】,李兴华-yyds,540860253,0,0,0,2,0,0,0,11
