上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676764692,8,202,False,False,大部分情况是，35岁没人要了，只能做保洁阿姨，或者去门店做导购员，更多的进厂打工
1676938778,8,28,False,False,我觉得很奇怪的一个想法就是年纪大的一定要做管理层吗？为啥不能作为员工好好干到退休呢？大家的思想要转变一下吧！
1676722972,1,126,False,False,35岁的人都在家里等65岁退休
1676779288,0,77,False,False,社会需要60岁以上的管理层，不需要35岁以上的工薪层
1676823936,2,20,False,False,"普通本科生刚毕业，想到未来就很迷茫，
在没进社会前，我预想的一直是有一份白领工作可以一直兢兢业业努力打工做到退休，但实际上这个本科生饱和的年代，我这个普通的大学生就好像是过去父母年代的初中大专生，上高层又没能力，投资又不敢，自由职业没特长，关键是，，，有点子“清高”的觉得，自己也是上了大学的，和父母那一代人不一样了，不想过上去送外卖跑滴滴的未来【我没有说那些行业低微，行行都值得尊重，只是我有点落差[酸了]】
现在看来，我这个现在的大学生，可能类比到过去，，，其实一直还是在社会底层吗？真的要接受未来35岁后接替现在打工人，去做社会体力劳工嘛，爸妈总说我上了大学了，未来好好工作肯定一切都会顺利平安的，我感觉我现在的自我认知好模糊，我究竟在哪里啊，未来又该怎么样？可以劝劝我吗"
1676797263,14,54,False,False,我去做教培行业老师了，北京这行还是很火的，根本没受到双减影响，火爆程度远超大家想象。我忙的几乎没空吃饭。
1676825790,0,12,False,False,啊。没事，就是过了35有可能不能编内。但是我是做超声的，好像是说开始40周前或者有证就好弄。加油努力让自己操作技术越来越好。还是觉得不管年纪，你有自己的一个技术，不怕没工作，就是编制内外还有钱多少的区别吧。但是饿不死就可以了[喜欢]
1676718687,10,52,False,False,为什么体制内不会很舒服呢，感觉到中年了很稳定是好事呀
1676731869,3,23,False,False,估计我这样的到35岁就只能去摆街边摊了
1676781249,1,7,False,False,35以后就去零元购吧
1676731697,0,35,False,False,三连支持，非常需要的话题，刚毕业对工作真的非常迷茫，去大城市压力大，回家没工作机会只能考公，专业不够强，躺又躺不平，好难
1676870642,0,4,False,False,医药专业毕业了表示35岁以后还是在做老本行[喜极而泣]
1676779250,0,22,False,False,"43岁，在老公的小公司里当个后勤人员，他喝酒应酬，我接我送，我还要接送我们的俩儿子。
他出差我三陪。当好几个地方开会他去不了，就让我开车去应付。总之工作不累，有点零花钱。"
1676789637,1,13,False,False,很少的人转主管，然后基本不动了。但大部分人嗯，难啊
1676728487,2,24,False,False,我就是攒钱，目标就是攒到不用不上班
1676774974,3,13,False,False,我的想法，干个十年八年，攒个一百万甚至更多，争取35前考回家乡体制内，买房子，剩的钱+体制收入，可以过个滋润的小日子了。收入公务员难考，但国企和教师等事业编还是不难的 ，别太挑就行。
1677065417,0,0,False,False,我也想平平淡淡的做个打工人。但是他们不让
1676717560,0,13,False,False,有收获，野生系列专栏课程太棒了[doge]
1676766087,0,7,False,False,姐姐好，我是老中医本医[doge]
1676808533,0,2,False,False,35到p8p9还是很少见的，加个十岁十五岁还差不多
1677057326,0,0,False,False,哪有那么多管理层啊
1677069209,0,0,False,False,好像都去开店了
1676769095,0,4,False,False,我们公司大部分都是中年人[doge]30-50
1676865499,0,1,False,False,能自主创业的人都能有能力[笑哭]
1676799271,0,3,False,False,正常工作是不行了是吧[吃瓜]
1676717857,0,5,False,False,我去保洁[吃瓜]
1676885006,0,0,False,False,一句话 自由职业
1676880200,0,0,False,False,我知道的35岁以上普通很多，也有高管的，再来就自己创业，接着就是企事业单位做一个普通的职员，熟练工嘛，再来一种就是回家收租去了.
1676827369,0,0,False,False,我只想做个包租婆然后每天躺平[doge]
1676732673,0,1,False,False,提到的课程在哪里呀，没有找到呢
1676816254,0,0,False,False,移民了[doge]
1676809337,0,0,False,False,哈哈哈哈哈哈哈
1676810558,0,0,False,False,今天公司来了两个新员工 都是80后 都是以前开店的 疫情开不下去了 雇员都走了
1676718095,0,1,False,False,姐姐太棒了[星星眼]
1676789834,1,0,False,False,为什么在体制内不是特别舒服，有点好奇
1677019244,0,1,False,False,35岁失业中
1676779285,0,0,False,False,这个背景敲敲敲的声音让我无法专注听讲耶
1676778895,2,0,False,False,说实在的，感觉身边的人没碰到35岁以上就失业的
1676738681,0,0,False,False,你好美[星星眼]
1676760673,0,0,False,False,还有仍然在打工的
1676767121,0,0,False,False,躺就是了，越卷大家越没活路[tv_思考]
1676732241,2,0,False,False,up主结婚了吗？如果还没的话，可以考虑上。另外，多方向发展对于个人压力也大
1676718076,0,0,False,False,[打call][打call][打call][打call]我得去学一下了
