tag_id,标签名,标签描述,订阅数,使用次数
13160,学习,,1635666,13559949
444411,自媒体,,1042,298252
5213,教师,,713,99318
34407075,是老师，也是UP主！,,25,44549
412497,产品设计,,1149,38319
19924228,一加一教育,,3,424
25377829,creo在线教学,,0,325
2850560,proe,,68,6492
2913659,结构设计,,199,14164
3341309,creo,,66,6771
3775450,proe教程,,7,1958
8241278,creo入门到精通,,9,918
8415785,creo教程,,5,1943
8505248,creo产品设计,,1,916
372799,考研,,373823,1941979
6500,大学,,14867,2341524
31664105,考研人哪有不疯的,,0,10499
634574,经验分享,,39622,3234469
3269802,学习心得,,43642,1742129
34876775,校园星发现·up！开学啦,,0,126998
182953,学历,,104,32870
111099,强者,,41,6113
3561943,富人思维,,115,2799
6874,趣闻,,79030,69287
47798,社会,,79895,1943140
17126,心理,,23381,746277
51266,模特,1,92331,711535
33186535,寻找100位内行人对谈,,6,30678
8317,揭秘,,1175,117447
34461754,趁早知道的职场真相,,1,683
9305,成功,,594,93221
4448,人物,,25173,620717
4149,教育,,67889,3662355
976,励志,,89035,1201110
213551,公务员,,31130,459886
111283,强哥,,15,4474
183540,公务员考试,,4953,243940
20496,狂飙,,21,84513
1333735,人情世故,,36,6199
31947836,职场新人进化论,,0,14339
16521255,水利案例,,0,160
28007349,全书重点,,0,11
4624676,监理工程师,,361,65256
34948831,今天也要好好工作,,1,83774
20736,EXCEL,,2269,60129
1518432,EXCEL教程,,2102,36328
7383988,EXCEL技巧,,1418,29418
47481,职场,,126600,750919
15727,人类,,39114,131672
46183,人工智能,,85431,505935
23901,互联网,,9170,984321
121660,求职,,3172,435368
21316,工作,,2141,602214
282741,失业,,206,26491
3459,人生,"理科生、文科生、体育生…总有一款是你的菜！美少女教你做人！
九文学园第二新闻部所属的赤松勇树，某一天被社长二阶堂彩香指派负责撰写校内新闻的新专栏“烦恼咨询”（人生咨询）。但是彩香不放心把报道交给勇树一个人，因此找来了三名“回答者”——理科代表的远藤梨乃、文科代表的文、体育科代表的铃木郁美协助勇树，勇树必须把她们三个人的回答总结起来并作成报道……
",5080,802803
110256,20岁,,1,6891
7849874,理清思路,,0,23
10852031,初中英语教招面试,,2,11
24965778,初中英语无生试讲,,0,10
26421028,初中英语公开课,,0,27
30680695,初中英语考编面试,,0,9
31990452,未来英语面试指导,,0,53
35858737,初中英语考编上岸,,0,1
1364,科学,,816836,1271573
5417,科普,为何？如何？因何?我们总想去了解自己未知的事物。,1732051,2368037
148029,电路,,1656,45411
723036,电工,,1462,41918
134384,商场,,15,13816
2477936,验收,,2,1152
16499104,公文写作素材,,4,581
26039595,写材料素材,,0,352
17308714,如何在淘宝开店,,22,538
984407,淘宝开店,,178,102797
1511191,淘宝运营,,423,69210
1884796,淘宝店铺,,1006,40682
2507822,如何开网店,,39,431671
3525369,淘宝新手开店,,5,11317
3702636,淘宝开店流程,,1,176541
4443566,电商创业,,34,9609
5777698,怎么在淘宝开店,,2,525
5780084,开网店,,14,43518
15402,人性,,13526,261796
703146,人际交往,,845,18445
154551,课程,,132025,2185107
7834,女人,,637,251529
8421,淘汰,,3,6992
92836,团队,,10,28375
652896,放弃,,6,11724
9323,时候,,16,20780
913987,开除,,4,3467
35027528,搞笑研究所2023,,2,176683
35850148,这个班一定要上吗,,0,4394
15354473,光伏设计,,2,523
20248706,光伏储能,,0,40
29999578,光伏离网,,0,3
35855309,大型储能案例,,0,1
493706,光伏,,41,9993
1252481,光伏发电,,18,2566
93187,新能源,,386,109061
180965,发电,,52,9779
4224600,电气设计,,142,7331
937966,词汇,,914,106183
2669928,公文写作,,90,12210
7499468,外贸人,,2,1297
10288344,外贸业务员,,16,1464
13083043,谈薪,,8,236
147123,月薪,,22,5197
49526,找工作,,1230,196495
32613,面试,,95621,586791
487920,面试技巧,,1066,61068
6658122,职场干货,,3,4415
35822772,互联网人互助指南,,0,9471
697364,职业规划,,2665,83418
170353,跳槽,,42,5858
6419010,金三银四,,20,875
10009,知识,,4916,714098
744179,年薪,,10,3001
910493,九转大肠,,18,19797
27233,PPT,,2270,88801
1607676,PPT模板,,237,34700
2493557,PPT教程,,918,20686
7574155,ppt教学,,0,558
7692257,职业职场,,36,50887
35048902,我最值得分享的职场经验,,0,3477
82389,原因,,5,26224
5152,机械,,278122,1097247
28310,视频教程,,52418,2493157
21288606,Excel数据可视化,,0,53
165769,自动化,,10956,195774
3526074,办公自动化,,71,3185
5543482,EXCEL函数,,445,16201
10311964,office办公技巧,,1,2767
571843,情商,,2078,57642
3002461,人际,,65,5375
34356,大学生,,7550,1384269
1520859,校招,,198,26338
1704503,应届生,,242,48580
3473023,春招,,73,27854
536,原创,1,239225,19297822
128384,创业,,8024,1154855
9265,希望,,28,48540
426889,经历,,40,26718
148121,小白兔,,15,4474
2565935,启发,,2,1271
521926,PUA,,1110,8951
21339158,唠嗑区,,9,1104
359585,唠嗑,,58,26695
102798,初中,,4997,432858
271936,异地,,50,8019
1699103,事业编,,278,82057
4354658,教师编,,71,3787
47996,冷知识,冷知识指的是琐碎的、庞杂的事情或知识等，或许饶富趣味、并随时充斥在我们的生活周遭，却鲜少人会去注意。和”冷笑话”属于一种另类幽默一样，冷知识非但有用，且更吸引人。这些知识看似有些稀奇古怪，却可以让人增长见识，开阔视野，还能启迪思维，引发强烈求知欲。,144083,323573
31821212,个人成长视频,,0,38
32437077,自我提升视频,,2,36
35819142,如何提高认知,,0,1
35819157,如何防范被骗,,0,1
100339,骗局,,928,75124
569849,认知,,592,45917
2526332,科普一下,,1,5963
11547170,商业骗局,,1,76
83001,淘宝,,5379,245443
527951,电商,,821,217411
311524,运营,,1044,87172
2276345,淘宝卖家,,25,2285
3814352,电商运营,,327,71729
690,导师,,136,19091
636794,自省,,11,951
1719077,结构化面试,,1036,60697
3574916,省考面试,,118,6051
3574915,国考面试,,185,21454
3952384,事业单位面试,,295,12691
7785733,遴选面试,,5,1491
8795904,选调生面试,,2,725
1513366,公务员面试,,1060,48867
9724,毕业,"也许是期盼着毕业的懵懂少年,也许是早已离开校园的&quot;哥哥姐姐&quot;。不管刚刚经历过什么,不管怎样的未来在等待着你,毕业,永远是人生永恒的记忆。希望那些将要毕业和不将要毕业的同学朋友们能珍惜现在所被给予的一切;希望那些早已走出校园的大家永远不要忘记毕业那一刻的回忆!",2280,435415
6578,计算机,,258157,511021
44454,现状,,124,51340
189556,工科生,,3,336
3527690,人物故事,,19,13744
2561468,excel,,373,20692
3321133,excel技巧,,33,5958
4419494,办公技巧,,74,7876
33238755,内行人在身边,,0,5673
4175110,工程造价,,689,41228
5274,计划,,369,49771
11409314,金山文档,,1,224
21852,米其林,,1324,25889
29538,职业,,563,277131
251524,商业,,9734,363295
1501903,餐饮,,159,51013
14211733,遴选备考,,3,781
1140770,申论,,1593,88516
1620185,省考,,1807,278508
2502319,遴选,,63,86303
9166179,遴选笔试,,4,1303
15686348,遴选上岸,,0,105
13623827,三极管电路,,0,18
14320463,交越失真,,0,18
35778934,推挽放大电路,,0,1
105546,电路基础,,190,915
395571,电子技术,,352,6626
3862432,电子爱好者,,30,5283
34001,系统,,882,160486
71302,大脑,,1108,20617
1415768,自我提升,,1135,15114
5005584,思维模型,,27,993
7522390,卡尼曼,,0,20
7587848,慢思考,,0,14
187789,甄嬛传,,22896,122519
230124,华妃,,201,27934
194163,人际关系,,4239,53696
164971,甄嬛,,3849,74924
4197424,曹贵人,,3,450
5391370,曹琴默,,10,421
9874696,打工人,,534,58263
12907411,智性恋,,4,354
33322257,产品老曾,,0,19
690061,产品经理,,1779,31684
172297,公司,,107,86378
681050,管理,,475,89539
1332043,升职加薪,,47,5477
6320856,老板思维,,6,5299
13807,科技,,90893,1426106
126561,创新,,344,29296
10015,全球,,49,26169
32126148,分享我的职业故事,,0,18759
178862,星海,,151696,315474
16837767,社死,,460,60785
50720,军人,,3507,152394
138137,逃兵,,6,416
29359,征兵,,97,3153
3397130,军士,,1,141
9818364,大学生入伍,,2,143
642609,言语,,58,8869
907682,考前,,1,2669
590549,行测,,2142,133895
129608,浙江省,,8,2618
1466978,联考,,431,52001
1630334,浙江省考,,58,7969
2920630,考前冲刺,,24,2885
640857,表格,,73,10426
104223,WPS,,277,10217
2549589,Office,,80,12292
5022122,Word文档,,2,801
6262166,office办公软件,,12,708
40737,人文,,585324,1601790
40328,读书,,33249,1095157
11147,成长,,1414,370140
1593554,读书分享,,5981,97556
1644106,书单,,6574,44407
2639861,读书笔记,,2588,27258
1307845,体制内,,116,7809
3554913,晋升,,9,2203
5057852,年限,,1,1760
8636,政治,,4169,123201
3161265,一号文件,,24,562
802135,事业单位,,2475,231000
347186,时政,,670,21116
949800,三农,,909,433176
1129266,公考,,2144,293276
1767295,国考,,1817,388705
2653505,常识判断,,183,10418
2668513,事业单位考试,,935,29094
3971378,事业编制,,11,1629
8859,考试,,296404,2254053
4496538,考公务员,,0,1867
3284362,江苏省考,,117,6801
15775524,必剪创作,,75744,71904046
23643274,0基础学电脑,,0,532
207281,干货,,9384,408617
6768942,职场办公,,9,664
1615,3D,,57555,751053
2596660,Blender,,1193,66844
107553,背景音乐,,685,76387
362,BGM,"BGM=Back Ground Music,英文中意为背景音乐，指在动漫、游戏、电影、电视剧等多媒体产品中，作Background Music为背景衬托的音乐 ,很多视频如果没有一个好的BGM将会变得很无聊

",146474,941731
222,工程,,1143,279922
926,技术,,8158,443554
74378,设计,,120682,1162372
9269,建筑,"建筑是人们用泥土，砖，瓦，石材，木材；（近代用钢筋砼，型材）等建筑材料构成的一种供人居住和使用的空间，如住宅，桥梁，厂房、体育馆，窑洞，水塔，寺庙等等。广义上来讲，景观，园林也是建筑的一部分。更广义地讲，动物有意识建造的巢穴也可算作建筑。西哲有云：建筑是凝固的音乐.，建筑是一部石头史书。古罗马建筑家维特鲁威的经典名作《建筑十书》提出了建筑的三个标准：坚固、实用、美观，一直影响着后世建筑学的发展。
建筑构成三要素：建筑功能、建筑技术和建筑艺术形象。",11462,562125
62240,设计师,,1582,72303
610600,BIM,,610,36282
2702518,Revit,,125,5058
4428762,BIMBOX,,5,283
50500,欣赏,,34,34284
11948820,签章,,0,6
12134551,初级会计网课,,2,335
13617340,初级会计题库,,9,168
25821305,2023初级会计,,0,5254
29803805,2023年初级会计实务,,0,75
904184,初级会计实务,,719,29024
1229280,会计从业资格证,,20,205
4962298,初级会计证,,0,861
8901103,初级会计备考,,15,2855
9225420,会计学基础,,3,136
1750118,对啊网,,368,300
517509,电子表格,,18,776
517507,办公软件,,986,49291
3752472,Excel小技巧,,0,297
5521718,excel基础,,2,367
6512776,单元格,,0,163
8000384,excel自学,,1,53
2739,演讲,,477006,365555
8816,英语,,611587,2196228
8745,英文,,1628,97915
25477343,英文即兴演讲,,0,357
602557,英语口语,,60588,409618
224567,英文演讲,,192,2104
335752,PS教程,,446326,230876
2518399,ps,,3101,103234
35827745,ps混和器画笔,,0,1
503751,画笔,,22,1076
2528677,Photoshop,,1167,37642
35071947,设计研习会,,0,8449
13312381,广东省考申论,,4,63
17820920,广东省考常识,,0,16
26264792,2023广东省考,,0,105
3095956,申论大作文,,13,1928
4569602,广东省考,,162,6296
29637561,写公文素材,,0,136
1099550,向上,,0,3169
1057934,沟通,,689,36002
521038,避雷,,66,19223
1063152,汇报,,10,3519
54305,错误,,10,8295
35817945,生活中鲜有人知的小知识,,0,1
9801,黄金,,333,118025
545538,回收,,13,35359
2962678,各行各业,,0,468
7963256,黄金回收,,9,4535
46428,老板,,182,158668
201973,领导力,,53,6399
1648774,张琦,,10,3786
13241440,知识分享官,,124013,3152796
17210344,张燚伟,,5,752
629789,送礼,,24,8561
7149216,职场社交,,6,4131
7520816,bilibili新星计划,,96135,4648565
10511051,打卡挑战,,13574,71323752
59293,开关,,13,4689
1101204,加一,,8,2591
163193,插座,,14,2662
300525,电线,,7,2392
28500938,新手教师不迷茫,,0,88
23374,孩子,,363,363927
8248,老师,,1418,357038
210124,家长,,283,69304
36140,班主任,,288,27570
48807,学生,,2699,577790
3031594,原则,,10,3753
23342807,小学英语教招面试,,0,24
23759770,高中英语教招面试,,0,24
615422,招聘,,361,53207
2287725,教师招聘,,1488,117862
3295847,教师招聘考试,,869,30004
3416134,公招,,6,8306
6698920,英语试讲,,8,542
402702,跑路,,2,6667
192363,辛苦,,22,5214
313069,收入,,420,36957
68439,报社,,2,804
3511945,考编,,296,68976
10646090,简历修改,,2,228
141602,简历,,310,42317
1662169,求职简历,,1,294
5923190,考研失败,,108,1306
9085145,简历包装,,1,28
18148804,春招求职攻略,,0,240
798815,饭局,,35,4908
1727396,为人处世,,117,10753
2630607,酒桌文化,,19,1442
13600146,应届生找工作,,2,730
590115,职业选择,,26,2613
3946418,个人成长,,323,20569
35710368,如何作职业规划,,0,1
683751,配色,,293,15297
9681631,李佳琦,,10618,73095
72409,金钱,,149,19600
66605,情感,,11429,5110733
104665,忠诚,,22,9308
222400,想要,,3,11514
638997,付出,,2,7821
40556,智慧,,407,80600
725497,体制,,31,33264
1727391,为人处事,,76,3510
1213593,电容,,67,2928
495751,故障,,16,10024
141856,显示,,9,3776
35527,显示屏,,69,8637
343,强大,,21,12781
117649,气场,,120,7181
180733,甘肃,,99,42253
13323871,高职教师,,3,58
19757873,中职教师,,1,99
2861394,试讲,,334,31595
3678160,职业院校,,1,551
1742,生活,,201236,23480783
5436850,放大电路,,9,216
11035607,三极管状态判断,,0,2
2977178,excel函数,,78,1799
1514323,大宝鉴,,9,58
621861,导航,,65,10412
167914,按钮,,15,2077
2643984,Excel,,866,17878
16906,数码,在这里，我们能找到最具性价比的配置，也能说出牙膏的各种挤法,285100,1356675
7007,手机,,635092,1512327
643783,手机进水,,6,710
316398,进水,,1,931
14932,程序员,,38705,686535
28784,编程,"编程是使用指令操控计算机的过程。操控计算机的指令统称编程语言，并分3大派：机械语言，汇编语言及高级语言。机器语言为低级的2进制码，仅在该机器语言的机器体系上适用，汇器是机械语言的基本翻译，但可读性/兼容性还是很差。高级语言是所有非汇编/机器语言的集合，一般可读性/兼容性更高。高级语言分多类，如：面向过程(Procedure Oriented)，面向对象(Object Oriented),多多重编程范式(Multi-paradigm),函数式(functional)，静态/动态(static/dynamic)等等。机器语言，汇编语言&amp;大部分高级语言都是图灵等价和图灵完备的，也是说机器语言，汇编语言&amp;大部分高级语言都可以模拟单带图灵机，并单带图灵机可以模拟说机器语言，汇编语言大部分高级语言。非图灵完备的计算机语言为DSL(领域特定语言),只适用特定的场合，如latex，yacc及lex。",445722,1254485
774967,分布式,,244,32230
140757,线上,,13,24347
1561111,微服务,,248,31096
2487456,JVM,,72,12996
3803680,高并发,,212,22975
22126,直播,,14564,2037477
807392,复盘,,183,116368
1616014,民主生活会,,0,1293
5547652,自我批评,,3,122
176488,产品,,88368,180738
10238168,互联网大厂,,25,2612
56643,留学生,,3064,168641
371004,身份,,3,14783
368661,出国,,382,75663
63922,打工,,649,173045
9078202,出国打工,,21,2289
313706,小技巧,,1794,141874
2528950,PowerPoint,,154,2060
6384,幻灯片,,105,50275
1641530,工作总结,,3,5057
24687450,技能提升营,,22,144328
39771,高级,,27,34045
54148,AI,,4150,321586
35800047,哪些工作会被人工智能取代？,,0,1
1098007,取代,,44,355
2575348,OpenAI,,16,2217
2936976,职业生涯规划,,6,994
35369918,ChatGPT来啦,,0,55591
30020004,文员零基础入门教程,,0,3
520261,办公,,450,43987
25994123,23广东省考,,0,300
3175687,PPT设计,,479,10339
3175691,PPT教学,,29,702
60471,数据,,1612,87161
13935,技能,,437,103575
9220936,PPT分享,,2,149
56033,高中生,,4511,305893
76079,游戏开发,,66609,65701
35796762,b站tag有bug,,0,1
7249326,项目经验,,12,203
16726703,点放样,,0,9
180466,软件教程,,81,3119
7339880,测量员,,32,1320
434606,兼职,,1992,280217
392466,股市,,6521,827378
95615,孙子兵法,,175,9196
141406,投资,,11468,1205407
12051,上班族,,564,202089
171523,基础,,744,109371
3047243,text,,0,157
416313,语文老师,,11,2618
142136,课堂,,160,30215
3391,语文课,,27,507
15762658,英语优质课,,1,188
16146806,高中英语优质课,,1,29
29220962,高中英语考编面试,,0,22
1091567,英语公开课,,33,646
5847690,高中英语公开课,,21,36
2530766,报表,,7,2047
1030823,裁员,,72,9371
38296,经验,,380,69902
2652753,前端工程师,,32,2227
3520087,外包,,11,1600
13257825,甘肃选调生,,3,6
2601351,选调生,,179,66925
14237012,2023年,,3,131164
35779149,23年深圳事业单位公告,,0,1
2705766,应届毕业生,,44,2520
2785781,深圳市,,0,2254
3719674,事业单位招聘,,19,2385
7293519,深圳事业单位,,0,114
37547,C++,,2760,68672
1697,教程,,295945,3677675
3013489,OpenGL,,65,1406
16770103,人才引进面试,,24,537
409664,职场小白,,10,1394
948578,职业生涯,,10,3046
480764,靠谱,,8,58013
21552,秒杀,,593,74239
9173,立体,,176,5161
13113142,立体拼合,,0,30
25554,方法,,429,88051
3569656,图形推理,,155,9486
28134,工业,,617,290322
262480,电气,,548,23217
