爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1677110978,907261750,1021134798,23568088,辞去教师全职做自媒体，我头脑很清醒,苜蓿老师,1677110366,1677110366,283,不会辞职，分享了五个观点,职业职场,209,4,学习;自媒体;教师;是老师，也是UP主！,13160;444411;5213;34407075,10,0,0,3,0,42,4,0,612,1,0,无,无,无
1677110993,567061638,1014285358,370547437,Creo/proe高尔夫球建模，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,Proe与Creo产品设计,1677108000,1676728389,98,更多资料领取方法：点赞，关注+评论，茄薇：creo22，领取,职业职场,209,10,产品设计;一加一教育;creo在线教学;proe;结构设计;creo;proe教程;creo入门到精通;creo教程;creo产品设计,412497;19924228;25377829;2850560;2913659;3341309;3775450;8241278;8415785;8505248,0,0,0,1,0,1,0,0,171,1,0,无,无,无
1677111054,479799567,1020857441,434432409,没录取你，才是学校最大的损失！,建筑小食堂,1677085626,1677085626,228,,职业职场,209,7,考研;大学;学习;考研人哪有不疯的;经验分享;学习心得;校园星发现·up！开学啦,372799;6500;13160;31664105;634574;3269802;34876775,15,23,0,9,0,59,11,13,1289,1,0,无,无,无
1677111078,436878215,1010975699,1453074675,2.16、靠学历分配的时代    早就过去了  醒醒吧！,恒洋底层思维,1677081600,1676552971,118,2.16、靠学历分配的时代    早就过去了  醒醒吧！,职业职场,209,3,学历;强者;富人思维,182953;111099;3561943,0,0,0,8,0,9,0,3,186,1,0,无,无,无
1677111099,992368480,1020700401,18741834,真的要把人逼成这样吗,比例Billie,1677078840,1677078840,429,"咱没有财力做那所谓的公关
群众是有眼睛的 模特心里是清楚的",职业职场,209,7,趣闻;社会;心理;模特;寻找100位内行人对谈;揭秘;趁早知道的职场真相,6874;47798;17126;51266;33186535;8317;34461754,8019,423,0,1212,0,9407,551,235,86291,1,0,无,无,无
1677111166,737306750,1020672659,491307403,跟强哥学人情世故#狂飙 #,公务员干货,1677076049,1677076049,62,-,职业职场,209,11,成功;人物;教育;励志;公务员;强哥;公务员考试;狂飙;人情世故;职场新人进化论;校园星发现·up！开学啦,9305;4448;4149;976;213551;111283;183540;20496;1333735;31947836;34876775,4,0,0,27,0,51,0,8,1685,1,0,无,无,无
1677111175,864865746,1020640452,523437400,【监理】2023监理工程师-水利案例-全书重点-王欣（吕桂军李子豪）,工程一哥666,1677075578,1677075578,380,"喜欢记得帮我三连一下！
喜欢记得帮我三连一下！
喜欢记得帮我三连一下！",职业职场,209,3,水利案例;全书重点;监理工程师,16521255;28007349;4624676,0,0,0,1,0,4,1,0,146,1,0,无,无,无
1677111192,479762165,1020647839,670562659,Excel忽略空格和0求每个月平均销量,山竹Excel表格教学,1677075116,1677075116,389,-,职业职场,209,4,今天也要好好工作;EXCEL;EXCEL教程;EXCEL技巧,34948831;20736;1518432;7383988,3,0,0,34,0,70,5,3,587,1,0,无,无,无
1677111200,224760759,1020570419,289703995,ChatGPT：工作我都能干，做人还得您来,顾招招,1677074535,1677074535,296,ChatGPT的热度居高不下。我问了它一组哲学问题，关于人类将如何失业，AI和人类的关系，哪些人类特质无法被替代，它能否进行理性推断……以及，在情人节前夜，邀请它为我推荐和创作了一些难以评论的爱情诗……,职业职场,209,8,今天也要好好工作;职场;人类;人工智能;互联网;求职;工作;失业,34948831;47481;15727;46183;23901;121660;21316;282741,12,5,0,12,0,33,2,3,302,1,0,无,无,无
1677111204,907352326,1018539150,1366786686,20岁的阶段性要务,飛鳥的日常记录,1677074400,1676968427,247,,职业职场,209,6,学习;人生;20岁;理清思路;职场新人进化论;校园星发现·up！开学啦,13160;3459;110256;7849874;31947836;34876775,49,3,0,339,0,215,30,18,4327,1,0,无,无,无
1677111212,737365690,1020626479,505949610,一等奖！初中英语优质无生试讲示范！超赞！导入及教学设计非常值得学习！,未来英语面试指导,1677074195,1677074196,1158,一等奖！初中英语优质无生试讲示范！超赞！导入及教学设计非常值得学习,职业职场,209,7,今天也要好好工作;初中英语教招面试;初中英语无生试讲;初中英语公开课;初中英语考编面试;未来英语面试指导;初中英语考编上岸,34948831;10852031;24965778;26421028;30680695;31990452;35858737,0,0,0,9,0,4,0,0,320,1,0,无,无,无
