爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677197379.0059574,907261750,辞去教师全职做自媒体？我头脑很清醒,苜蓿老师,23568088,140,8,0,129,1220,88,21,39971
1677197393.6557963,567061638,Creo/proe高尔夫球建模，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,Proe与Creo产品设计,370547437,0,0,0,11,13,0,0,643
1677197455.06292,479799567,没录取你，才是学校最大的损失！,建筑小食堂,434432409,39,90,0,23,183,32,44,2977
1677197478.3632543,436878215,2.16、靠学历分配的时代    早就过去了  醒醒吧！,恒洋底层思维,1453074675,1,1,0,106,139,30,17,2448
1677197499.6422777,992368480,真的要把人逼成这样吗,比例Billie,18741834,23014,937,0,3469,27352,1082,889,309856
1677197566.8740375,737306750,跟强哥学人情世故#狂飙 #,公务员干货,491307403,7,0,0,48,82,0,12,2357
1677197576.0804129,864865746,【监理】2023监理工程师-水利案例-全书重点-王欣（吕桂军李子豪）,工程一哥666,523437400,0,0,0,0,5,1,0,216
1677197592.1997774,479762165,Excel忽略空格和0求每个月平均销量,山竹Excel表格教学,670562659,5,0,0,51,111,6,5,932
1677197600.315259,224760759,ChatGPT：工作我都能干，做人还得您来,顾招招,289703995,14,7,0,20,56,4,7,551
1677197604.4092805,907352326,20岁的阶段性要务,飛鳥的日常记录,1366786686,162,6,0,1715,777,117,80,19813
1677197612.5116136,737365690,一等奖！初中英语优质无生试讲示范！超赞！导入及教学设计非常值得学习！,未来英语面试指导,505949610,2,0,0,20,9,0,0,626
1677197622.6423762,267368658,商场电路竣工验收，分闸压线只能一闸一回路，原来是这么回事,勇哥说水电,595286379,1,0,0,4,43,1,0,1047
1677197642.80139,479849120,写材料常用套路词汇编，word文件,职场学习小超人,650750845,2,0,0,28,13,1,9,1030
1677197654.9832957,949837666,为什么很多电商博主喜欢讲技术？,照顾酱,389838895,19,0,0,39,62,14,3,1603
1677197674.0893185,949750215,一把手刚上任后是如何布局的,易缘老师,691475389,8,0,0,65,107,1,9,2332
1677197689.22469,907261237,女人任何时候都不要放弃工作！,许林芳管理思维,1226380111,0,1,0,7,12,0,6,855
1677197702.6073244,224778098,Excel技巧：Xlookup再厉害，也没Vlookup组合Match公式强！,Excel自学成才,431886272,138,3,0,582,546,32,57,16528
1677197748.9261353,779769160,储能丨光伏发电丨新能源丨大型储能电站讲解丨光伏发电设计丨王老师,电气设计李老师,477343561,1,0,0,11,4,0,0,132
1677197805.190227,652329896,公文写作常用28类四字词汇编，537例，word文件,职场学习小超人,650750845,29,0,0,195,70,2,16,1374
1677197825.350456,224779284,假如我给客户写封信，哈哈哈哈哈,Morry唠唠叨叨,483104896,34,4,0,29,297,32,18,4354
1677197832.4603121,907367362,什么是让面试官乖乖束手就擒的谈薪话术？打工人一定要收藏！,马力在知群,543931674,8,2,0,109,120,14,7,4254
1677197849.617706,482299709,找工作谈薪，这3个环节很重要，90%人都搞错了！,职场教练Echo,1612114484,22,0,0,354,256,6,18,5914
1677197857.7119837,394841657,【旁门左道PPT】当年薪五万碰上年薪百万做的PPT…,旁门左道PPT,395619513,170,116,0,570,921,61,94,26178
1677197875.8538394,524870895,面试谎言？被开除的原因是什么【职场导师Don】,职场导师Don,1302166373,4,0,0,8,18,0,0,206
1677197884.0262454,864847964,单if条件判断-Excel函数入门到实战制作自动化报表模板)之(七),Excel办公自动化,387418363,4,0,0,12,16,2,1,229
1677197900.1523438,394701140,职场中的五种犯傻行为，你踩坑了吗？快来对照！,刘老师职场与考编讲座,1849973655,6,0,0,44,73,5,13,1659
1677197904.246363,949753288,模仿只是第一步哦,求职找土豆,1068488454,79,15,0,657,6797,70,12,60452
1677197907.3715723,394866044,体制内摸鱼十年后最大的感悟是什么,易缘老师,691475389,9,0,0,33,43,2,3,1364
1677197914.512674,352339319,我第一次开除小白兔的经历，希望能带给你启发,许林芳管理思维,1226380111,8,10,0,73,213,32,21,6792
1677197933.6389608,822309831,异地初中女教师，月薪4600，工作辛苦经常被PUA,一不小心哥,574298442,31,7,0,24,198,69,14,6936
1677197939.7956247,992290912,我将在 24 小时内删除此视频...谁能看到它。或者……是你？,KLB读书会,516973958,23,14,0,86,161,0,18,2845
1677197997.075519,524854577,想做好电商必备的三个条件 零基础学电商-28课,老吴运营日记,470909303,4,0,0,4,18,6,1,886
1677198002.169803,224857623,人最大的导师就是自己，多自省多认识自己，总会找到答案,职场小咸鱼,471285754,59,1,0,127,163,15,19,2420
1677198006.2826188,224842656,一道题教你学：基层应急处突思维（示范答题）,鑫鑫与公考,2058280933,0,0,0,14,20,5,1,1052
1677198014.3925161,394771413,你是交警，高速发生交通事故，有车辆占用应急车道导致救护车过不去，领导让你前去处理，你怎么办？,金标尺面试观,1736468798,0,0,0,1,9,0,1,109
1677198049.5698974,479776756,武汉985院校，4个传统工科硕士，真实的就业和薪资情况,那些无名之辈,295347600,62,76,0,161,1341,508,88,41925
1677198058.687288,907261469,表格内文字如何快速标注拼音...不！是单独列出拼音~,秋叶Excel,480423911,0,1,0,25,111,5,0,1134
1677198076.8180873,567348113,老造价五分钟就能找到工作，做造价一定要万事留一线！任何分包单位不是看起来这么简单的。,造价猫大洋,486242758,12,5,0,35,107,23,5,2393
1677198081.9121766,992312731,逼自己一个月找到工作！应届生春招技巧大全,金山文档,474596369,10,12,0,9,26,3,11,1042
1677198091.0395634,737335673,12颗米其林的中式餐饮创始人有这三个特质,闪闪发光的老高,1663915898,4,1,0,4,18,6,0,462
1677198110.15452,394357493,2.22遴选申论｜2023年要上岸的朋友！速冲！（一整年考点）,公务员遴选申论,1616372839,23,2,0,73,78,9,16,2191
1677198157.414457,992209069,"401-交越失真,推挽放大电路中对管交替工作中产生的失真",电子电工黄超想,651321342,0,0,0,2,23,2,0,453
1677198189.6039147,779849542,团队要淘汰这三种人,许林芳管理思维,1226380111,1,0,0,13,23,7,4,1372
1677198197.733532,482371011,51% 卡尼曼双系统,圆中的猫头鹰,385126080,122,7,0,407,308,26,30,4705
1677198207.9416916,309790360,智性恋鼻祖曹琴默的职场沉浮启示录｜高玩的聪明与清醒【钱婧】,钱婧老师,512063561,115,88,0,107,372,24,24,5586
1677198228.0865762,479757484,连合理的拒绝都不会，还怎么在职场混？,产品老曾,1150472191,622,57,0,1119,1723,155,384,64973
1677198269.2835395,694852237,欧洲“扫地僧”助力华为新员工,华为招聘,510459330,2,0,0,6,75,5,2,1636
1677198292.413271,267322061,【征兵】征兵到哪一步不能后悔？未授衔可以全身而退吗？,特种吃货Seven,286925403,92,124,0,98,1490,273,21,25399
1677198347.6124728,907361473,正确率18%的23浙江省考真题,公考讲师刘文波,613161302,2,3,0,18,28,4,4,1623
1677198358.728885,822305756,女人不管在哪里上班也要记住这8个道理,易缘老师,691475389,6,0,0,19,24,1,5,688
1677198400.884483,567305899,同事之间处理好关系很重要，请问你怎么处理与同事的关系？,金标尺面试观,1736468798,0,0,0,1,6,2,2,94
1677198412.1009903,224760645,Exce表格中，如何使用sumif函数进行跨表求和，并做静态化设置？,Office办公三剑客,2146236937,2,0,0,31,31,0,1,1011
1677198449.3251493,224767240,坚持读书2000天发现，人生变强的秘诀是快速放弃？,煮一壶酒的卢克,22001608,292,91,0,417,428,49,41,6638
1677198454.4399674,737293030,公务员职务职级并行后，任职年限已经足够了，为什么迟迟没得晋升？,老A讲晋升,1029508158,0,0,0,7,25,0,0,1100
