发送时间,视频内弹幕出现时间,弹幕文本
1677134562,226.31800,都要给我说哭了
1677081408,24.47500,契诃夫直呼内行
1677073107,423.67600,有道理的
1677069987,71.05000,上海医学专硕不能落户
1677054875,419.22200,正解
1677034902,121.79900,泪目了，晚自习也要上课
1676973519,415.21800,因为钱捏
1676961949,391.53700,是这样没错哈哈哈哈哈哈
1676961115,317.38900,？
1676955342,212.20400,你他么说得太对了，每个都对
1676949263,412.11900,说的是我
1676947071,346.57900,所谓文案并不令人伤心，令人伤心的是你正是文案中的人
1676940503,129.36100,这是真的
1676917732,394.43400,哈哈哈哈哈哈
1676917352,401.21900,……正在熬夜，感觉膝盖中了一箭
1676917306,392.97900,我现在仍然在网络上逃避着现实
1676916800,16.64500,好帅
1676914466,211.00200,泪目
1676907693,394.24600,崩溃
1676907686,390.47600,太真实了
1676907064,471.74000,我去这句话好有道理
1676906929,390.22900,哈哈哈哈哈哈哈哈哈哈哈真实真实
1676903328,218.61900,喜欢一个人，别烦我
1676898882,450.33000,10点？？？
1676898363,396.33500,哈哈哈
1676898250,413.82900,对的，感觉晚上是唯一属于自己的时间
1676896552,106.71300,睡觉
1676893550,372.97400,笑崩了。。。哈哈哈哈
1676892341,361.80900,因为淋过雨，所以学会了不打伞在雨里哭泣
1676891135,92.87400,太真实了哥
1676890549,254.97100,是的是的是的！！！！
1676878401,370.97000,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1676873036,385.71800,晒太阳
1676872275,92.24400,这也没办法吧，饮食男女，人生大事
1676869134,135.66000,好窒息啊唉
1676869058,355.70300,靠脑力不好赚钱，体力也不失为一个好办法
1676867794,388.81600,hahahahahahahaha
1676867642,443.84800,居然还有十点就睡觉的同学，我会崇拜到不行
1676867370,262.97100,是的是的
1676866350,391.19900,哈哈哈哈哈哈真实了
1676863264,392.37900,是我本人哈哈哈哈
1676861449,418.51300,赞同
1676860907,464.68700,健康是第一要素
1676859834,198.65200,装监控了吧！！
1676858410,275.84000,泪目
1676854016,169.48000,躺在宿舍，甚至不想去逛街
1676852258,60.73100,发量不错嘛
