上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676878003,54,3446,False,True,简单来说“有盼头”的日子才会比较快乐……
1676882273,25,1853,False,False,"以前听过的观点

你月薪三千，欲望二千，你就快乐。

你月薪三千，欲望五千，你就不快乐。"
1676892410,31,1237,False,False,可是没钱真的会不快乐，就像我现在住在很老旧的房子里，锅碗瓢盆的年龄都比我还大，家里也没有车，我的房间没有学习桌没有衣柜房门没有锁，地板是木质的破败的，在经济匮乏的情况下让我不追求物质也太残忍了，看朋友圈里朋友出去玩出省出国怎么会不羡慕呢，我连买个衣服都要考虑超过50是不是太贵[灵魂出窍]
1676915329,11,372,False,False,有钱很重要啊，没钱抗风险能力花很差的，一场大病就能搞得倾家荡产，什么欲望不欲望的我都不在乎，我怕的是万一哪天生病了治不起怎么办。
1676881730,5,915,False,False,你说对了，我是养娃的时候顿悟的，更多的钱不能给他带来快乐，管理好他的欲望，管理自己的欲望，珍惜亲子关系，远离廉价多巴胺，才是快乐的关键。
1676890740,13,311,False,False,可能有钱人获得快乐更难了，但是穷人的烦恼绝对比有钱人多得多
1677019821,2,41,False,False,"有钱不用看着价格来吃饭
有钱你可以在外面玩耍时不用斤斤计较
有钱你可以买下自己喜欢的衣服，自己喜欢的电子产品
有钱你可以放心的开始学习一门本领，不需要瞻前顾后
有钱你可以放心的为自己的孩子付出，不至于连孩子的愿望都满足不了
有钱你可以每年都让爸妈全面体检一次
有钱你可以在家人重病缠身时不用东求西借
有钱你可以在面对老板，同事的刁难时，双袖一挥，潇洒离去

没钱你必须精打细算的过日子，由价钱来决定你今天的食谱，你舍不得让你和你的爸妈去接受检查，因为那很贵；你和恋人约会时舍不得花费多一点钱财。你想学一门本领，但你却没有钱买乐器，那昂贵的颜料你舍不得；你不舍得去旅行，因为你可能只买得起一张单程票；你用了非常久的手机，已经支撑不了时代的发展，但是你却舍不得换。
我们不是颜回，我们也难以做到人不堪其忧，回也不改其乐。有钱也许我不会很开心，但是至少我不用担心生存上的问题"
1676880447,10,500,False,False,感觉还是钱刚好够花的时候最开心，这样只要今天小小奢侈了一把去买了一件想买很久的衣服，去了一家很想吃的店，这样就好了，小小的幸福就可以了。要是天天吃，随便就能买就不会这么开心了，就跟小时候吃顿麦当当就会开心，现在真是想不到吃什么才会随便点个汉堡解决一顿。
1676878185,6,527,False,False,"总结： 1.欲望是永无止境的[doge] 
2.小吴生日快乐[打call]"
1676904991,11,178,False,False,"說真的，有錢真的可以快樂
有錢後的生活容錯率很高

不論什麼時候都不用在意有沒有錢可以去玩樂去吃好吃的
不用在意花了錢買顏料買畫紙，這個月就吃不起飯
不用需要延後開始一個新的興趣
我想體驗很多東西的過程，但恰恰好我沒有多餘的錢去體驗
或許當我都得到了之後會無聊吧，那接下來咱可以去玩遊戲"
1676892427,4,156,False,False,为什么穷困潦倒的我也一脸疲态和愁容…
1676880837,9,298,False,False,我很开心的时候是：我和爸妈吃过晚饭散步，去离大学很远的地方很有烟火气的地方的宝藏小馆，回外婆家奶奶家晒晒太阳打个盹儿看看书画会儿画…[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]
1676881416,4,253,False,True,偏个题，这个视角好像得我撑在你身上做俯卧撑才能看得到......（没有搞黄也没有其他意思！！！就是单纯的想到！！！然后觉得很像！！！永远爱小吴且支持你！！！）小吴生日快乐！！！身体健康！！！
1676888790,1,47,False,False,首先，我得先有钱，我才能说有钱是不是会让人更快乐，我没有的东西，我怎么知道它是会让我快乐还是不快乐呢[再见][再见]
1676890990,1,84,False,False,当下大家很多焦虑情绪其实都来源于自身的欲望，就像up主说的，我们必须找到那个均衡点，也就是欲望要和能力相匹配。还有就是消费观，互联网如此发达的今天，也让我们这些普通人有机会看见上流社会的生活状态，但偏偏有人会拿来和自己做对比，手动提高自己的快乐门槛，有钱人是有很多钱，相应的，他们的快乐成本也要比我们高出很多，所以大家知足常乐呀[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]
1676879882,11,144,False,False,钱够用就行了，毕业找的工作就是不加班的，我宁愿清闲也不要给我加班费，现在也不用多消费，我现在一个月大概就是1500左右，吃的自己做，多赚的钱就存着，家里东西也够用，那我的快乐阈值就是买点衣服护肤品电子产品，甚至打赢游戏或者认识新朋友我都很开心，反正人生规划就是存够钱了再去要结婚要小孩，永远不会贷款[呲牙][呲牙]
1676878708,3,88,False,False,可是没钱真的很难不焦虑
1676894815,0,40,False,False,有钱开不开心我不知道，但是没钱一定会不开心，大多数的烦恼都是源于没钱[tv_流泪]
1676886031,0,37,False,False,幸福感不完全来源于物质，我理解是家里有通情达理恩爱的父母，子女孝敬长辈，有一些铁汁随叫随到无数话题的朋友，条件允许有互相扶持的恋人，不过这些条件起码得有个普通偏上的经济条件才行，不求大富，起码也得有小富，不然的话生活极大概率是嘈杂和柴米油盐。我对我的生活还算满意的[OK]，虽然家里不怎么有钱，没出过国，一台小汽车用了8年不舍的换，但是我的父母直到至今还恩爱的像是高中生情侣一样每天在我面前放闪[吃瓜]，亲戚大多比较穷但对我都很好，我感觉这样的生活就挺好的[tv_馋]
1676878033,2,98,False,False,我觉得 要想活的开心，还是要找到自己喜欢的事情，无论是干什么，做奶茶做咖啡做厨师做摄影，意识到人的渺小才知道每一个人都不那么重要
1676897980,0,36,False,False,去年就意识到了，对我来说，买一个奢侈品包包不会让我有多满足，反而睡一个好觉，给自己做一个早餐，那个时候是最满足的时候。（工作之后太难有这样享受生活的时刻了，所以就格外珍惜。）
1676993131,0,8,False,False,我不同意[原神_生气]有了钱我就不用给别人打工，可以直接实现环游世界的梦想了。也不需要想着怎样赚钱怎样攒钱要多久才可以买一台单反，整一台很nb的电脑，卖一艘帆船；而且那些淘宝收藏夹里的可爱奇怪有趣的小玩意不用担心小钱积土成山成了浪费大钱。我的愿望和这一生的梦想里甚至可以说赚大钱是最终的目标，这样我能有资本做我所有想做的事[Cat2_SpaceNyan!]
1676893235,0,20,False,False,"维特根斯坦一生研究哲学，但生活贫苦潦倒，却在临终前留下""我的命运虽然不幸，但我也度过了极幸福的一生″。宫泽贤治只有一本书得到稿费，仅30岁就去逝，但在《春天与阿修罗》、《银河铁道之夜》都明确写了什么是他的幸福:被众人唤作傻瓜，不求赞誉、也不苦，仅因为活着美好，想报答，就是快乐……快乐与钱无关，取决于自己的人生观与价值观"
1676891395,6,21,False,False,反正没钱花绝对不开心，我再也不想回到800r我妈要独自带大我一人的时候了
1676882838,0,50,False,False,有钱会变得快乐，但是怎么定义这个有钱？相对于我们定义的有钱，那么之前的没钱所在基础又是怎样的？假期出去旅行，发现财富就是可以买到更好的体验，比如说绝美的观景房，它就是很贵，当然没有说住经济型酒店不好的意思，只是说你住在一个观景房，它带给你的体验是完全不一样的。比如徒步需要买装备，登珠峰要买门票，去出国旅游也需要玛尼，有一些体验性的东西就是需要经济基础来支持。一个贫穷的人，普通人，我们固然可以在烟火中获得幸福和快乐，但这个快乐和上文的体验是不同的。我更喜欢说有钱能够得到快乐，而不是有钱会变得快乐，因为快乐这个东西，最好是来自主体，而不是外界，当我们可以从所有事物中感受到快乐，感恩我们拥有的一切，那么随时我都会变得快乐，我变得快乐， 而不是有钱变得快乐！新的一年也到了，也快进入二十岁了，或许这些话语显得如此稚嫩而不曾遭受社会洗礼，但是管他呢，这就是当下的我最真实的看法，祝小吴生日快乐！天天都快乐！
1676889810,0,16,False,False,有钱开不开心我不知道.没钱我一定不开心[妙啊]
1676883878,0,16,False,False,大概是在脑子里的，但是无法像小吴这样清晰的表达出来，感觉小吴语言组织能力好棒…（偏题）
1676879640,2,33,False,False,有道理，虽然我很穷，但是我也觉得有道理，比如我和老公就在计划下个月抽一天一家四口去找个小山头爬一爬，已经期待很久了，因为好几年没爬过了，重点是一家四口一起去会让快乐加倍！
1676979450,1,3,False,False,"有钱快乐+1
不同于往日现在互联网时代大程度上打破了曾经的信息壁垒，那对世界的认知和欲望一旦拉开，我们就需要通过接触，了解，学习，与此同时挖掘自己才可以做到自己对自己快乐的定性，才可以离那个平衡更近一点。这个过程需要大量金钱去续航和维持本体独立。
那么面对很多有钱却沉沦的案例，自认为还是思维角度没被完全打开，同时转向了见效最快的生理刺激（当然也有压力过大的情况）"
1676878082,3,28,False,False,有没有可能，人越有钱，视野越广，欲望就越重
1676889920,1,16,False,False,"“智者向内寻求力量”——《成龙历险记》
如果一定要比较的话，可以排个综合顺序：有钱且能够控制和管理个人欲望＞没钱，欲望值很低＞有钱但无法控管欲望＞没钱欲望还贼大[笑哭]"
1676897405,0,6,False,False,说的很好，但感觉稍微有点偏题吧，不快乐的点是“被拉高的欲望”，而不是“有钱”，“有钱”只是诱因之一啊[藏狐]
1676915610,2,8,False,False,"我的病到现在都没好。
对我而言，“知足常乐”这四个字意义颇深。
看评论区的人身体大部分都挺健康的，才会去升级去讨论到有钱会不会让人快乐[捂脸]
新冠那段时间，好多人的目标和愿望都是身体健康!!记住，当时如果你的目标只是身体健康，快乐对你而言就真的很容易。
现在你身体好了目标又改了？其实不用改的呀，你身体健康是多少人都比不了的幸福。可知多少人都还在和病魔作斗争啊，他们想要的只是身体健康!"
1676988385,0,3,False,False,有钱快乐，我说的，不然怎么不去追求穷吗？乏味不是富人的全部感受，安逸也不是穷人的所有心绪，就连看到过去的自己，也只是富人视角的俯视罢了，关键啊，你以前的快乐才不是因为穷！
1676895615,1,9,False,False,但是你觉得快乐是被动的吗：因为外界的刺激导致阈值升高和身体内多巴胺受体的减少，这个快乐我们是不是可以通过意识到当下的过程本身的魅力和可爱来获得呢？
1676879820,0,17,False,False,爸爸说以后就在省会养老（有房子但是工作在其他城市），我说真正适合的养老的城市根本GDP不会很高的，觉得在人多的城市上学和生活就挺难受的……会被同化，一直一直不快乐，旅游签证去别的国家兼职了四个月，攒钱买了人生中第一件奢侈品吧……就会在想什么时候我可以用的都是奢侈品….怎么样都不快乐
1676996773,0,4,False,False,以前有和同学讨论过这个，当时讨论的点在于“愚昧”的快乐到底快不快乐
1676901109,0,7,False,False,这个角度就好像我趴在你身上听你说话[微笑]
1676885642,0,6,False,False,仍然感觉还是挣到钱的人才有更能思考的时间
1676883858,0,5,False,False,"有钱真的会更开心吗？
正方：有钱真的会更开心
反方：有钱并没有更开心"
1677004105,0,2,False,False,别酸了，大多数时候，有钱真的比没钱快乐的多。。只不过那种快乐让外人看着像极了麻痹。开心到麻痹懂吗？开心的定义不是看平常生活的那种平平淡淡的开心，而是每个人的人生必然遇见的一个个不可逃避的困难现实的时候，却在钱的面前一文不值。。。试想一下，那种几乎没有困难的人生你真的不觉得开心吗？尤其是普通人真的很难过去的那些麻烦。
1677053674,0,2,False,False,说一个我个人的想法吧，我没买过奢侈品（在我这个普通人眼里比如包吧，几千到好几万都算奢侈品），不是因为我买不起，是因为我觉得那玩意我想买我就可以（花一段时间攒钱或者别的少买点）买，是不需要我付出太多的，而且！对我来说最重要的一点就是！奢侈品是因为，在，我，身上，它才有价值，是我赋予了它价值，不是用它，别人羡慕我。我的消费观念就是没有消费观，想买就买，一切前提都是满足我的需求，以我自己为中心，而不是以这个东西本身的价格或者什么设计理念为中心。所以我很开心[歪嘴]偶尔吃点樱桃啥的我就觉得自己是个富有的人哈哈哈哈
1677051449,0,2,False,False,有钱总比没钱快乐，有钱能不快乐到哪去
1676992270,0,2,False,False,别人有钱开不开心我不知道，但是我有钱的时候都很开心
1677022693,0,2,False,False,没有能力驾驭金钱的时候必定被反噬，不是钱这个元素的问题，是你这个人的问题，只是说钱多是一种更大的诱惑，但是你如果可以控制得很好有道德，自然会好好利用，生活上会很方便的
1676979623,0,2,False,False,不算新的道理，而且我并不觉得给没钱的人讲有钱人有多痛苦就可以缓解当下没钱造成的痛苦
1677123546,0,2,False,False,有钱可能不会快乐但是你没钱一定不会快乐
1677081091,0,2,False,False,我不知道有钱会不会开心，但我知道没钱是真的不开心
