爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1677136987,737327536,1020074136,1933898986,考前小技巧 — 定义&类比,公考雷佳音,1677135600,1677051466,729,,职业职场,209,7,小技巧;公务员考试;经验分享;考前;定义;类比;我们都爱搞学习,313706;183540;634574;907682;1139979;4801780;29142398,2,1,0,8,0,13,0,1,150,1,0,无,无,无
1677137012,567288186,1021708455,691682865,汕尾事业单位招176人公告,广东公考指南,1677134783,1677134783,208,公告来自汕尾人才网官网,职业职场,209,5,今天也要好好工作;汕尾事业单位;事业单位;事业单位招聘;广东事业单位,34948831;19004701;802135;3719674;9842481,1,5,0,6,0,14,9,12,862,1,0,无,无,无
1677137037,992276408,1021418555,691475389,为什么建议大学生毕业后进入体制内,易缘老师,1677132900,1677128119,94,为什么建议大学生毕业后进入体制内,职业职场,209,3,人性;职场;人际交往,15402;47481;703146,0,0,0,2,0,7,0,0,238,1,0,无,无,无
1677137088,352271430,1021397082,691475389,体制内被领导侮辱骂很脏的话怎么办,易缘老师,1677129900,1677127883,114,体制内被领导侮辱骂很脏的话怎么办,职业职场,209,3,职场;人性;人际交往,47481;15402;703146,0,0,0,6,0,19,3,0,522,1,0,无,无,无
1677137103,567305144,1021549864,491307403,如果你现在迷茫不知道出路在哪，请耐心听完！,公务员干货,1677128818,1677128818,205,-,职业职场,209,10,今天也要好好工作;人生;励志;成功;公务员考试;出路;公务员;智慧;认知;人情世故,34948831;3459;976;9305;183540;757918;213551;40556;569849;1333735,2,1,0,20,0,47,1,1,1128,1,0,无,无,无
1677137261,267318391,1020907567,8542312,当我问AI想做什么区的up主，它会怎么回答我？【对话chatgpt】,箱庭计划,1677124800,1677089621,760,"新开一个系列 大家可以当电台听
尝试用我聊天的逻辑去采访采访ai
当然也公开向大家征集问题 
如果大家有对各种ai好奇的问题欢迎评论区跟我说
凑够了会接着更新！

感谢@小辰出击  帮我搞的封面",职业职场,209,11,访谈;电台;人工智能;UP主;AI;回答;采访;对话;自媒体;ChatGPT整活大赏;互联网人互助指南,3713;5632;46183;2798;54148;411004;7167;59025;444411;35269651;35822772,6,5,0,9,0,53,5,4,715,1,0,无,无,无
1677137269,822373767,1021427646,543931674,没有面试官能拒绝这张图，应届生自我介绍直接抄答案！,马力在知群,1677124655,1677124655,166,搞懂这张图，自我介绍轻松拿到90分！,职业职场,209,10,职场;应届生找工作;面试;互联网;面试技巧;面试官;应届生;面试干货;职场干货;互联网人互助指南,47481;13600146;32613;23901;487920;1627587;1704503;3433710;6658122;35822772,20,0,0,71,0,72,1,3,1474,1,0,无,无,无
1677137292,479852211,1021440802,387418363,001Excel一分钟搞定工资条(法1),Excel办公自动化,1677123896,1677123896,89,001Excel一分钟搞定工资条(法1),职业职场,209,8,今天也要好好工作;WPS技巧;会计实务;Excel;Excel教程;Excel技巧;Excel高效办公;表格技巧,34948831;13150327;890166;2643984;2766148;2840464;2857073;6262162,0,1,0,11,0,8,0,0,104,1,0,无,无,无
1677137343,609757237,1021393107,298515499,好羡慕能抢到这些东西的人！！！,粉笔网,1677122583,1677122583,103,粉笔1元包邮周边，2月27日14:00，在粉笔App限量发售！,职业职场,209,11,笔记本;申论;行测;包邮;省考;国考;粉笔公考;粉笔网;国考成绩;确实该聊聊·第三季;怎么花钱可以花的更开心,1338;1140770;590549;513051;1620185;1767295;3185518;6655510;9237895;35636636;35761760,2,3,0,2,0,59,13,9,1735,1,0,无,无,无
1677137377,224752203,1018511499,473500883,货轮经过会给水下作业带来多大麻烦？装载游艇运输船考验重重！,纪录片之家科技控,1677121200,1676971461,174,"@纪录片之家科技控
这一次的游艇运输装载似乎麻烦不断，装载水位的下降已经让船长头疼不已！一个问题尚未解决，新的大麻烦随之而来。一艘超大集装箱货轮在半小时内要途径此河道，带来的巨大浪涌和吸走的大量水会让一切前功尽弃。
全片传送门：https://www.bilibili.com/video/BV1xy4y1M7EK/",职业职场,209,5,涨姿势;货轮;游艇;运输;纪录片之家字幕组,38006;448717;248244;229097;1531210,0,0,0,5,0,23,0,0,455,2,0,无,无,无
