爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677244020.5003507,567230823,试讲面试80分到90分，你需要抠好这5个细节。,你们的田老师,1817047180,20,0,0,143,161,8,7,3127
1677244020.8814597,482025729,领导总是在快下班才安排你工作，导致你经常加班，你会怎么办？,金标尺面试观,1736468798,0,0,0,5,8,0,0,250
1677244021.2183168,694534923,Creo/proe ipad曲面造型，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,Proe与Creo产品设计,370547437,0,1,0,50,69,7,3,1142
1677244021.519611,352223965,VLOOKUP函数核对两个表格，实在太方便啦！,Excel精选技巧,515269622,5,0,0,64,46,5,9,1711
1677244021.8644829,652191190,奸商揭秘暴利奶酪棒！利润让人惊讶,倒爷胖丁,417014129,51,28,0,92,984,110,150,28255
1677244022.2063699,694595898,领导为啥故意把单位整乱,易缘老师,691475389,24,5,0,84,191,17,54,4847
1677244022.6813643,567143516,每日即兴英文演讲What does it mean to listen well?,英文演讲爱好者Scott,508695150,15,1,0,1,48,18,5,519
1677244022.9975166,609701289,加油小仙：把自己的苦难转换成人生的摇钱树,UP主五老师,17682864,38,5,0,8,153,19,0,1756
1677244023.3426385,822187236,面对老婆出轨该怎么办？老罗：没事，不是什么大事，成年人不要冲动，要冷静的解决。,老罗一个有趣的灵魂,1419461490,2,1,0,4,20,2,0,565
1677244023.6817021,394675716,【2月19日题目解析】凉茶的问题,花生十三-公考行测,526410150,54,24,0,51,274,102,48,11751
1677244023.9971476,652153078,焊接电焊时一定学会这几个动作,焊工小高,490942666,16,0,0,13,110,7,3,1240
1677244024.2885377,479661678,对话调教ChatGPT，居然变成在线犯罪指南！,赛雷三分钟,26108626,904,602,0,3094,22088,623,969,184759
1677244024.6226258,779624076,当我给员工发年终奖....还比去年多了几十W？,纽约星姐_毛小星,27744027,116,19,0,125,1862,92,80,47370
