video_aid,爬取时间,video_cid,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数
223934622,1676091513,997958615,1675685329,1675685329,217,综合,10,5408,1533,10182,0,38934,533,3502,284032,1,0,6005,1633,0,11785,43774,573,3843,312327,6,12504,103,-0.009708737864077669,-0.009708737864077669,1,。,0,4.701203703703704,4.168802238032741,0.0,0.0,0.4689265536723164,9.225988700564972
223956708,1676092538,996168513,1675742400,1675685626,371,手工,10,50385,5018,19880,6,242694,2135,4754,2073243,1,0,52561,5259,0,21113,256163,2200,4956,2194597,6,1720670,45,-0.022222222222222223,-0.022222222222222223,1,。,1,4.052523148148148,3.15262252794497,0.0,0.0,1.0821643286573146,43.72945891783567
223966087,1676092052,996129342,1675680997,1675680997,250,手工,8,95450,1337,13592,13,157279,1152,1666,892635,1,0,102341,1414,0,15016,171706,1187,1733,952186,6,394393,5,-0.2,-0.2,0,。,0,4.757581018518518,2.3282681099084095,0.0,0.0,0.622,18.406
223988002,1676094094,997728860,1675776314,1675776314,239,手机游戏,3,675,593,4738,0,43247,779,4688,317520,1,0,804,672,0,5894,53591,897,5466,383014,5,858,28,-0.03571428571428571,-0.03571428571428571,1,。,0,3.6780092592592593,0.10148002015158003,0.0,0.0,0.9924050632911392,152.65822784810126
223997552,1676093385,997499290,1675771908,1675771909,231,MV,10,1308,127,1003,0,3069,308,1319,46603,1,0,2642,244,0,2127,6570,534,2586,91712,2,1255,6,-0.16666666666666666,-0.16666666666666666,0,。,0,3.7207986111111113,0.301826071141575,0.0,0.0,0.4364406779661017,6.8008474576271185
224022151,1676090926,998892988,1675848267,1675848268,326,影视杂谈,6,95,478,1170,0,23485,327,50,419465,1,0,95,479,0,1169,23520,331,52,421749,6,36919,422,-0.002369668246445498,-0.002369668246445498,0,。,0,2.8085532407407405,0.07631414186210315,0.0,0.0,3.038961038961039,29.194805194805195
224025997,1676091254,999088862,1675857177,1675857177,131,小剧场,10,1120,213,3760,0,21444,158,189,466936,1,0,1287,218,0,6142,24241,164,205,738140,6,483017,202,-0.0049504950495049506,-0.0049504950495049506,1,。,0,2.709224537037037,0.16183424410033587,0.0,0.0,0.5405405405405406,23.28828828828829
224042016,1676094067,1000526358,1675942100,1675942100,91,手机游戏,7,997,166,3848,0,7943,144,1116,48815,1,0,1494,295,0,5844,11760,196,1586,72311,6,6280,81,-0.012345679012345678,-0.012345679012345678,1,。,0,1.758877314814815,0.0382205603244746,0.0,0.0,0.3157894736842105,43.20175438596491
224048103,1676092337,999189858,1675861697,1675861697,338,电子竞技,10,789,562,899,0,27729,354,495,399621,1,0,878,603,0,1075,31177,370,547,464896,6,1319416,557,-0.0017953321364452424,-0.0017953321364452424,0,？,0,2.6694444444444443,0.16594088993833056,0.0,0.0,1.2023809523809523,53.11309523809524
224080638,1676094004,998756938,1675850400,1675843537,441,搞笑,9,43971,3635,4106,83,44967,1319,3015,594813,1,0,45828,3851,0,4344,47348,1410,3296,641851,6,285352,121,-0.008264462809917356,-0.008264462809917356,1,。,0,2.819490740740741,0.20383244284551763,0.0,0.0,1.1963927855711423,17.26452905811623
224110075,1676091595,999359854,1675870093,1675870093,396,篮球,11,10595,2177,2981,0,25586,5232,822,309595,1,0,11172,2307,0,3245,28031,5305,867,347001,6,138716,294,-0.003401360544217687,-0.003401360544217687,0,！,0,2.5636805555555555,0.2191716923379776,0.0,0.0,9.266,19.238
224127479,1676092966,1001802805,1676021466,1676021466,538,人文历史,11,1607,210,570,0,2470,111,81,53110,1,0,2684,270,0,953,4209,155,149,115106,6,116505,67,-0.014925373134328358,-0.014925373134328358,1,！,0,0.8275462962962963,0.3723906898349328,0.0,0.0,0.40963855421686746,2.9156626506024095
