video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否周末,是否原创_1,是否原创_2,是否合作_0,是否合作_1,有无简介_0,有无简介_1,有无广告_0,有无广告_1,标题样式_。,标题样式_！,标题样式_？,是否周末_False
224005970,1676453157,999761946,狂飙（x）乱飙(√),1675910257,1675910257,76,鬼畜调教,10,24446,603,31800,62,136099,877,16652,1737264,1,0,25315.0,617.0,0.0,33118.0,140845.0,877.0,17353.0,1810512.0,6,53012,49,-0.02040816326530612,-0.02040816326530612,1,。,0,6.283564814814815,517273.6,17,17,0.3867735470941884,25.661322645290582,False,1,0,1,0,0,1,1,0,1,0,0,1
224006007,1676450814,1000485482,“妈妈爱卷宝，卷宝知道，卷宝也爱妈妈”,1675938650,1675938650,160,喵星人,10,4057,646,8748,0,56939,1144,2917,964178,1,0,4191.0,662.0,0.0,9010.0,58365.0,1158.0,2997.0,987774.0,5,528,13,-0.07692307692307693,-0.07692307692307693,1,。,0,5.927824074074074,141171.6,48,200,1.1022044088176353,147.83366733466934,False,1,0,1,0,0,1,1,0,1,0,0,1
224006861,1676453552,999915289,【罗翔】安徒生的爱情戏剧为何失败？《阿格内特与人鱼》讲了什么故事？,1676347200,1675917575,351,社科·法律·心理,6,5551,1406,3198,0,40286,1031,1895,237432,1,0,6375.0,1539.0,0.0,3500.0,43657.0,1114.0,2125.0,272366.0,6,26093216,304,-0.003289473684210526,-0.003289473684210526,1,？,0,1.230925925925926,102443.33333333333,0,0,1.3271221532091098,23.242236024844722,False,1,0,1,0,0,1,1,0,0,0,1,1
224007560,1676446455,999222236,再见了，所有的中二病,1675863296,1675863296,267,MAD·AMV,8,8923,325,8663,0,18458,730,999,109485,1,0,9860.0,347.0,0.0,9509.0,20111.0,778.0,1133.0,120698.0,6,917,7,-0.14285714285714285,-0.14285714285714285,1,。,0,6.749525462962963,97360.125,113,12,0.3907815631262525,3.470941883767535,False,1,0,1,0,0,1,1,0,1,0,0,1
224011186,1676455987,1000134147,网购1.3米长鲅鱼，竟然意外的好吃，简简单单又一餐。,1676016000,1675929360,148,田园美食,11,1255,1127,923,0,35010,497,470,553825,1,0,1285.0,1144.0,0.0,955.0,35840.0,506.0,484.0,579658.0,6,626547,107,-0.009345794392523364,-0.009345794392523364,0,。,0,5.09244212962963,238556.45454545456,2,1,0.8440677966101695,7.505084745762712,False,1,0,1,0,1,0,1,0,1,0,0,1
224039209,1676448294,1000133760,这个视频能让你感受到，生活是幸福的,1675924950,1675924950,128,亲子,11,18139,777,10400,0,116235,1111,3692,1196397,1,0,18690.0,792.0,0.0,10829.0,120232.0,1131.0,3834.0,1239570.0,6,157231,1380,-0.0007246376811594203,-0.0007246376811594203,0,。,0,6.057222222222222,47820.36363636364,2,1,0.756,97.49,False,1,0,1,0,1,0,1,0,1,0,0,1
224075840,1676446512,1001128518,“你就是我重回巅峰的勇气！”,1676004660,1675991432,100,影视剪辑,2,4227,121,6460,0,28236,254,203,249779,1,0,4992.0,210.0,0.0,8849.0,39682.0,300.0,292.0,330826.0,2,6039,8,-0.125,-0.125,0,！,0,5.114027777777777,44853.0,1,0,1.38135593220339,21.652542372881356,False,1,0,1,0,1,0,1,0,0,1,0,1
224100304,1676456663,999806441,隋卞一做 |炝锅面，有手就行……,1676019600,1675911695,241,美食制作,6,8890,787,19076,0,24811,1159,4929,640610,1,0,9091.0,793.0,0.0,19556.0,25220.0,1188.0,5204.0,657921.0,6,269437,9,-0.1111111111111111,-0.1111111111111111,1,。,0,5.058599537037037,340952.0,0,0,1.126,11.138,False,1,0,1,0,0,1,1,0,1,0,0,1
224109284,1676451124,998614581,【广州星龙吟日料放题】553元 新西兰鳌虾畅吃 2023版,1675845600,1675838228,1754,美食侦探,12,7487,3235,1125,0,14848,919,1774,263971,1,0,7642.0,3306.0,0.0,1153.0,15644.0,937.0,1839.0,276441.0,6,216825,305,-0.003278688524590164,-0.003278688524590164,0,。,0,7.00837962962963,183901.58333333334,1,0,0.7935871743486974,13.040080160320642,False,1,0,1,0,1,0,1,0,1,0,0,1
224117256,1676455407,1000251208,【36氪】从扶贫到“坑贫”，中国式彩票什么时候开始把路走歪了？,1675940705,1675940706,714,财经商业,9,17962,6991,13213,57,71704,5614,7190,1701430,1,0,18662.0,7165.0,0.0,13763.0,73791.0,5349.0,7541.0,1765623.0,6,1716032,294,-0.003401360544217687,-0.003401360544217687,1,？,0,5.957199074074074,53472.0,5,0,4.917835671342686,74.0440881763527,False,1,0,1,0,0,1,1,0,0,0,1,1
224125640,1676449687,1003240883,没房没车没彩礼我们订婚啦～,1676109834,1676109834,298,日常,7,7939,355,994,0,6106,1095,599,123896,1,0,9650.0,408.0,0.0,1278.0,7419.0,1306.0,793.0,150861.0,4,3464,25,-0.04,-0.04,0,。,0,3.9334837962962963,38379.0,77,55,0.6933867735470942,3.8316633266533064,False,1,0,1,0,1,0,1,0,1,0,0,1
224125656,1676456464,1001635474,听说你们想看我穿泳装,1676021400,1676017607,188,日常,7,9805,2676,3857,0,76252,2342,1220,1466414,1,0,9996.0,2743.0,0.0,3938.0,77449.0,2369.0,1263.0,1509539.0,6,1432676,100,-0.01,-0.01,1,。,0,5.035462962962963,73588.28571428571,0,1,1.2925851703406814,45.74749498997996,False,1,0,1,0,0,1,1,0,1,0,0,1
224128111,1676455565,1001599048,张楚岚内心独白直接封神！“我就是要你们亲手送走陈朵…”【一人之下5】,1676021141,1676021141,229,国产原创相关,9,15809,606,18400,64,68915,2364,3540,1201077,1,0,16436.0,626.0,0.0,19224.0,71041.0,2387.0,3656.0,1235973.0,6,128569,325,-0.003076923076923077,-0.003076923076923077,1,！,0,5.0280555555555555,39614.555555555555,30,47,3.586,108.146,False,1,0,1,0,0,1,1,0,0,1,0,1
224147193,1676454201,1004755232,《我的世界 但是使命召唤》,1676264400,1676187189,346,综合,10,4702,318,3884,0,14949,249,522,129528,1,0,5530.0,375.0,0.0,5078.0,18678.0,268.0,639.0,161723.0,6,10429,24,-0.041666666666666664,-0.041666666666666664,1,。,0,2.1967708333333333,74028.8,6,181,0.17733990147783252,4.970443349753695,False,1,0,1,0,0,1,1,0,1,0,0,1
224149899,1676447137,1001788787,他穿着裤衩冲进中南海，却指挥了6位副总理，调动了14万解放军,1676020722,1676020722,328,人文历史,11,6186,431,4778,0,32376,458,440,577936,1,0,6539.0,451.0,0.0,5109.0,34908.0,476.0,468.0,604945.0,6,229925,184,-0.005434782608695652,-0.005434782608695652,1,。,0,4.935358796296296,4694.545454545455,5,5,4.294520547945205,210.7945205479452,False,1,0,1,0,0,1,1,0,1,0,0,1
224151732,1676455484,1001771274,借款10万凑了24万彩礼后女方要求我买房子才能结婚,1676019656,1676019656,263,社科·法律·心理,10,599,605,714,0,6521,1334,1665,302978,1,0,623.0,627.0,0.0,733.0,6758.0,1367.0,1738.0,314650.0,6,536821,168,-0.005952380952380952,-0.005952380952380952,1,。,0,5.044305555555556,124.7,2,1,1.818,27.286,False,1,0,1,0,0,1,1,0,1,0,0,1
224179294,1676453538,1004226207,我 解 决 了 电 车 难 题!!!【世纪地狱难度】,1676174078,1676174078,1115,单机游戏,13,4538,14378,18216,75,42363,1328,293,704526,1,0,4991.0,15147.0,0.0,22217.0,46773.0,1410.0,315.0,823453.0,6,1313988,137,-0.0072992700729927005,-0.0072992700729927005,1,。,0,3.234490740740741,368127.0,4,55,0.5531062124248497,7.88376753507014,False,1,0,1,0,0,1,1,0,1,0,0,1
224181629,1676451096,1002272253,买敞篷小牛一年要亏多少钱？！,1676088300,1676049426,561,汽车生活,11,3974,1254,2213,0,33468,462,715,434625,1,0,4057.0,1309.0,0.0,2351.0,36594.0,488.0,752.0,475233.0,6,2819109,322,-0.003105590062111801,-0.003105590062111801,1,？,0,4.199027777777777,310295.7272727273,0,0,0.5142857142857142,15.079365079365079,False,1,0,1,0,0,1,1,0,0,0,1,1
224183418,1676456505,1002412651,这玩意是真下饭！,1676088000,1676051122,76,美食制作,9,2737,417,4497,0,74061,495,647,623143,1,0,2866.0,437.0,0.0,4828.0,78022.0,503.0,703.0,669606.0,6,1226166,158,-0.006329113924050633,-0.006329113924050633,1,！,0,4.265104166666666,675079.2222222222,2,2,0.5327102803738317,8.292834890965732,False,1,0,1,0,0,1,1,0,0,1,0,1
224184331,1676447054,1001903863,可恶！被跳舞机恶魔支配了！【Mystery少女团】,1676032500,1676026043,96,明星舞蹈,12,12500,419,22663,0,44386,553,4388,431561,1,1,13191.0,430.0,0.0,23821.0,46520.0,571.0,4637.0,460414.0,6,44830,38,-0.02631578947368421,-0.02631578947368421,0,！,0,4.798078703703704,42018.583333333336,3,1,0.4583333333333333,10.397058823529411,False,1,0,0,1,1,0,1,0,0,1,0,1
224187683,1676448754,1003667640,“他亲手杀了世上最爱他哥哥的人”,1676176200,1676127448,196,影视剪辑,7,12184,366,12339,0,26711,979,4070,516526,1,0,13216.0,387.0,0.0,13919.0,29010.0,1023.0,4409.0,555803.0,6,346711,143,-0.006993006993006993,-0.006993006993006993,1,。,0,3.154560185185185,70816.57142857143,2,5,0.7775551102204409,44.687374749499,False,1,0,1,0,0,1,1,0,1,0,0,1
224211764,1676447511,1001993772,如何用面包车，跑赢GTR？,1676084400,1676035805,798,汽车生活,10,90135,4666,14155,40,78219,1577,3965,766111,1,0,91803.0,4722.0,0.0,14538.0,79666.0,1601.0,4049.0,785616.0,6,668434,77,-0.012987012987012988,-0.012987012987012988,0,？,0,4.202673611111111,60928.3,9,5,0.6893787575150301,25.44689378757515,False,1,0,1,0,1,0,1,0,0,0,1,1
224213421,1676447952,1001455744,“中国不能失去山东，就像西方不能失去耶路撒冷”,1676010885,1676010885,101,搞笑,5,11113,848,19155,0,101010,546,825,703287,1,0,12107.0,889.0,0.0,21378.0,108341.0,566.0,884.0,753533.0,6,263364,101,-0.009900990099009901,-0.009900990099009901,0,。,0,5.058645833333333,58380.4,1,0,1.159322033898305,45.91525423728814,False,1,0,1,0,1,0,1,0,1,0,0,1
224217076,1676450333,1004168562,南极宝贝,1676168973,1676168973,151,出行,7,1189,236,5895,0,37098,228,2154,167134,1,0,1423.0,260.0,0.0,6823.0,41272.0,243.0,2324.0,183197.0,6,368084,67,-0.014925373134328358,-0.014925373134328358,1,。,0,3.2564814814814813,131492.7142857143,0,0,0.41566265060240964,8.331325301204819,False,1,0,1,0,0,1,1,0,1,0,0,1
224221985,1676450917,1003249148,他为保护邮件安全，与劫匪搏斗，手筋被砍断，头骨被打破……,1676107946,1676107946,71,日常,5,20125,1138,27814,25,235442,1013,1457,1156954,1,0,21489.0,1201.0,0.0,30649.0,247761.0,1050.0,1532.0,1247110.0,6,85143,50,-0.02,-0.02,1,。,0,3.969571759259259,17836.0,4,3,0.842,57.114,False,1,0,1,0,0,1,1,0,1,0,0,1
224225595,1676449965,1002519191,是的，我们有一个私生女,1676086200,1676064028,596,搞笑,11,49148,4529,23259,20,108210,1298,11111,1279887,1,1,49797.0,4574.0,0.0,23393.0,109720.0,1308.0,11145.0,1307282.0,6,5294624,217,-0.004608294930875576,-0.004608294930875576,1,。,0,4.210243055555556,278326.7272727273,6,5,0.6893787575150301,46.69739478957916,False,1,0,0,1,0,1,1,0,1,0,0,1
224232729,1676456657,1001887796,跟美国女友说一整天假英文！只有中国人能听懂的英文...... 哈哈哈哈哈！,1676024573,1676024573,109,搞笑,11,1074,195,1786,0,36817,284,494,672446,1,0,1088.0,200.0,0.0,1856.0,37668.0,297.0,507.0,696001.0,6,393682,51,-0.0196078431372549,-0.0196078431372549,1,！,0,5.000972222222222,94206.09090909091,0,2,0.4878048780487805,18.13658536585366,False,1,0,1,0,0,1,1,0,0,1,0,1
224234005,1676453111,1001906041,给流浪猫制作冬季大型饮水器,1676028316,1676028316,208,喵星人,6,98335,3796,16894,5,278497,7294,1237,2166633,1,0,102806.0,3927.0,0.0,17762.0,288961.0,7346.0,1286.0,2257919.0,2,82412,7,-0.14285714285714285,-0.14285714285714285,0,。,0,4.9166087962962965,216240.0,1,0,12.587174348697395,63.37074148296593,False,1,0,1,0,1,0,1,0,1,0,0,1
224235069,1676448804,1004719739,专属详解版 | 显贵显质感的日常妆容~,1676103927,1676103927,884,美妆护肤,6,8176,785,22122,0,27359,638,1915,601306,1,0,8505.0,806.0,0.0,23201.0,28653.0,649.0,1998.0,634181.0,6,2153851,107,-0.009345794392523364,-0.009345794392523364,1,。,0,3.9916319444444444,239664.5,5,0,0.5471264367816092,10.931034482758621,False,1,0,1,0,0,1,1,0,1,0,0,1
224242432,1676449182,1003161660,《流浪2》海外受捧背后：国产电影要上位，为何科幻片是最大杀招？【电影棱镜6】,1676163600,1676107043,823,影视杂谈,11,6761,3294,3435,0,23407,1379,663,380976,1,0,7076.0,3407.0,0.0,3568.0,24423.0,1417.0,697.0,399262.0,6,112859,47,-0.02127659574468085,-0.02127659574468085,1,？,0,3.305347222222222,111581.18181818182,12,11,2.54089709762533,39.029023746701846,False,1,0,1,0,0,1,1,0,0,0,1,1
