video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_1,是否原创_2,是否合作_0,是否合作_1,有无简介_0,有无简介_1,有无广告_0,有无广告_1,标题样式_。,标题样式_！,标题样式_？
224005970,1676482675,999761946,狂飙（x）乱飙(√),1675910257,1675910257,76,鬼畜调教,10,24989,611,32592,62,138842,887,17069,1781839,1,0,25670.0,623.0,0.0,33675.0,142760.0,888.0,17651.0,1839246.0,6,53092,49,-0.02040816326530612,-0.02040816326530612,1,。,0,6.625208333333333,517274.9,17,17,0.3907815631262525,26.17434869739479,1,0,1,0,0,1,1,0,1,0,0
224006861,1676484263,999915289,【罗翔】安徒生的爱情戏剧为何失败？《阿格内特与人鱼》讲了什么故事？,1676347200,1675917575,351,社科·法律·心理,6,6079,1490,3418,0,42543,1075,2037,259695,1,0,6627.0,1584.0,0.0,3633.0,44793.0,1133.0,2208.0,284017.0,6,26096880,304,-0.003289473684210526,-0.003289473684210526,1,？,0,1.5863773148148148,102448.33333333333,0,0,1.344,24.914,1,0,1,0,0,1,1,0,0,0,1
224011186,1676486061,1000134147,网购1.3米长鲅鱼，竟然意外的好吃，简简单单又一餐。,1676016000,1675929360,148,田园美食,11,1278,1137,935,0,35536,500,479,568017,1,0,1304.0,1167.0,0.0,971.0,36274.0,507.0,494.0,588905.0,6,626781,107,-0.009345794392523364,-0.009345794392523364,0,。,0,5.440520833333333,238557.0,2,1,0.8394648829431438,7.545150501672241,1,0,1,0,1,0,1,0,1,0,0
224039209,1676484170,1000133760,这个视频能让你感受到，生活是幸福的,1675924950,1675924950,128,亲子,11,18552,788,10731,0,119380,1127,3795,1227019,1,0,18978.0,801.0,0.0,11071.0,122889.0,1138.0,3914.0,1277789.0,6,157556,1382,-0.000723589001447178,-0.000723589001447178,0,。,0,6.472453703703704,47819.90909090909,2,1,0.764,99.458,1,0,1,0,1,0,1,0,1,0,0
224043456,1676482231,1000288003,大爷并不是不卖，只是不想赚傻子的钱。,1676019600,1675933019,111,搞笑,7,509,221,2389,0,77138,165,348,1432073,1,0,519.0,229.0,0.0,2505.0,79659.0,170.0,370.0,1495587.0,6,1333889,209,-0.004784688995215311,-0.004784688995215311,0,。,0,5.354525462962963,441121.0,0,0,0.49074074074074076,10.25925925925926,1,0,1,0,1,0,1,0,1,0,0
224075840,1676481622,1001128518,“你就是我重回巅峰的勇气！”,1676004660,1675991432,100,影视剪辑,2,4848,206,8423,0,37603,286,270,312085,1,0,5451.0,251.0,0.0,10320.0,46043.0,314.0,349.0,377239.0,2,8168,9,-0.1111111111111111,-0.1111111111111111,0,！,0,5.520393518518518,44852.0,1,0,1.2826086956521738,20.971014492753625,1,0,1,0,1,0,1,0,0,1,0
224117256,1676484334,1000251208,【36氪】从扶贫到“坑贫”，中国式彩票什么时候开始把路走歪了？,1675940705,1675940706,714,财经商业,9,18305,7071,13485,57,72754,5654,7348,1733685,1,0,19012.0,7261.0,0.0,14147.0,75361.0,5406.0,7736.0,1803816.0,6,1716991,295,-0.003389830508474576,-0.003389830508474576,1,？,0,6.292002314814815,53473.77777777778,5,0,4.969939879759519,75.11022044088176,1,0,1,0,0,1,1,0,0,0,1
224125640,1676485643,1003240883,没房没车没彩礼我们订婚啦～,1676109834,1676109834,298,日常,7,9186,391,1195,0,7068,1226,737,143723,1,0,10446.0,449.0,0.0,1392.0,8000.0,1391.0,882.0,163196.0,4,3497,25,-0.04,-0.04,0,。,0,4.349641203703704,38378.57142857143,81,59,0.8156312625250501,4.617234468937876,1,0,1,0,1,0,1,0,1,0,0
224125656,1676485657,1001635474,听说你们想看我穿泳装,1676021400,1676017607,188,日常,7,9915,2713,3893,0,76935,2357,1248,1489942,1,0,10077.0,2760.0,0.0,3981.0,77875.0,2382.0,1282.0,1527615.0,6,1432138,100,-0.01,-0.01,1,。,0,5.373344907407407,73588.14285714286,0,1,1.3026052104208417,46.23246492985972,1,0,1,0,0,1,1,0,1,0,0
224126506,1676475203,1003106798,小哥今天收到了小费，下班一下买了两份炸酱面，再加个猪蹄,1676194200,1676102220,324,美食记录,5,9365,493,805,0,14832,296,160,200603,1,0,9636.0,506.0,0.0,838.0,15282.0,297.0,170.0,208495.0,6,265085,430,-0.002325581395348837,-0.002325581395348837,1,。,0,3.252349537037037,408090.4,7,20,1.3582089552238805,17.932835820895523,1,0,1,0,0,1,1,0,1,0,0
