video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否周末,是否原创_1,是否原创_2,是否合作_0,是否合作_1,有无简介_0,有无简介_1,有无广告_0,有无广告_1,标题样式_。,标题样式_！,标题样式_？,是否周末_False
223528662,1676517189,986493004,留学生十大求职误区 2下,1676253600,1675136748,811,职业职场,11,0,0,1,0,0,0,0,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,576.0,121.0,-0.008264462809917356,-0.008264462809917356,0,。,0,3.050798611111111,158106.72727272726,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
223528712,1676521823,984132958,如何逼死年轻人？,1676106000,1674980585,64,职业职场,6,0,0,1,0,2,0,1,104,1,0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,105.0,2.0,1044.0,124.0,-0.008064516129032258,-0.008064516129032258,0,？,0,4.812766203703704,114800.83333333333,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,0,1,1
223626942,1676523478,990355101,服装原型制版打板：男西裤原型后片纸样设计,1676032680,1675349174,1083,职业职场,10,0,0,0,0,1,0,1,41,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,46.0,3.0,676.0,205.0,-0.004878048780487805,-0.004878048780487805,1,。,0,5.680532407407408,173006.3,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223646348,1676519700,987762627,企业涉及保理业务会计如何入账呢？附案例,1676170800,1675216792,661,职业职场,11,2,0,29,0,17,6,2,372,1,0,2.0,0.0,0.0,29.0,17.0,6.0,2.0,389.0,3.0,6747.0,471.0,-0.0021231422505307855,-0.0021231422505307855,1,？,0,4.038194444444445,33320.90909090909,3,3,1.0,1.3333333333333333,False,1,0,1,0,0,1,1,0,0,0,1,1
223678546,1676527410,988221666,第5期 别把销售“管”死了（下）,1675915200,1675235854,114,职业职场,5,0,0,0,0,0,0,0,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,8.0,-0.125,-0.125,1,。,0,7.085763888888889,67.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223698327,1676525266,995557167,第6期 尊重职业亦是尊重自己,1675985400,1675236226,114,职业职场,5,0,0,1,0,1,0,0,12,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,4.0,1.0,8.0,-0.125,-0.125,1,。,0,6.248449074074074,25309.2,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223756346,1676524640,991289154,揭秘导致效益下滑的两个底层原因,1675999800,1675409308,67,职业职场,7,0,0,0,0,1,0,0,76,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,2.0,82.0,123.0,-0.008130081300813009,-0.008130081300813009,1,。,0,6.074537037037037,22052.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223775317,1676510248,992735562,张国栋（栋梁）造价设计：软件如何解决混合模板中定额编号相冲突的问题？,1676455200,1675492622,119,职业职场,4,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,600.0,1260.0,-0.0007936507936507937,-0.0007936507936507937,0,？,0,0.6371296296296296,240.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,0,1,1
223794151,1676524741,993333383,064_C++信息学奥赛一本通题目编程解讲-星期几,1675998300,1675517547,372,职业职场,4,0,0,0,0,1,0,0,8,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,18.0,76.0,-0.013157894736842105,-0.013157894736842105,0,。,0,6.093067129629629,3527.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
223812759,1676523674,993359222,【自动灭火】第21节：末端泄水、系统泄水与排气,1676026800,1675518691,1457,职业职场,7,2,0,1,0,1,0,1,148,1,0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,149.0,5.0,8645.0,258.0,-0.003875968992248062,-0.003875968992248062,1,。,0,5.750856481481481,9.142857142857142,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
