,0
1000008625,4
1000017081,3
1000020013,0
1000023454,0
1000026920,3
1000030120,1
1000037518,1
1000040728,4
1000044899,0
1000054247,4
1000061685,3
1000064069,0
1000066991,0
1000083207,1
1000088596,3
1000103810,4
1000104441,0
1000110065,1
1000118318,2
1000119298,1
1000120392,3
1000128958,2
1000133760,1
1000134147,0
1000141678,4
1000143394,0
1000144697,3
1000156581,1
1000157704,0
1000162666,0
1000189931,3
1000190578,4
1000196590,1
1000197466,0
1000197596,3
1000202053,0
1000203965,2
1000205864,0
1000208933,3
1000211092,1
1000212290,0
1000219784,1
1000219878,0
1000221745,0
1000224251,3
1000229539,3
1000235639,3
1000236627,4
1000238658,0
1000240659,3
1000241140,4
1000242010,4
1000251208,3
1000253311,0
1000254176,4
1000256612,3
1000262011,4
1000262743,4
1000271581,4
1000272616,0
1000278917,1
1000279565,0
1000280025,3
1000285260,4
1000286275,3
1000291073,0
1000291986,4
1000293848,4
1000297085,4
1000300108,2
1000300385,3
1000306909,3
1000311972,0
1000313012,1
1000313712,0
1000314754,0
1000315591,3
1000315734,3
1000323926,4
1000324184,1
1000324974,0
1000331445,3
1000336729,1
1000338129,2
1000339533,0
1000340739,4
1000340902,3
1000342898,0
1000345986,0
1000347745,4
1000348506,0
1000355000,1
1000355319,3
1000356322,3
1000359395,4
1000359730,3
1000370582,0
1000371066,0
1000371898,3
1000376611,0
1000380493,2
1000381417,3
1000382231,3
1000391195,4
1000393511,1
1000395163,0
1000397967,3
1000400150,0
1000404847,3
1000410714,4
1000410967,1
1000411641,3
1000412390,0
1000414868,0
1000421010,3
1000422688,4
1000423269,3
1000425217,1
1000426934,1
1000427819,3
1000428778,4
1000429766,1
1000432921,0
1000435904,4
1000440878,3
1000446361,3
1000446607,3
1000449146,0
1000457115,3
1000460137,1
1000462520,1
1000462872,3
1000463006,1
1000469492,3
1000475603,0
1000478663,3
1000478762,1
1000479573,4
1000479598,1
1000480630,0
1000485482,1
1000489959,4
1000492608,0
1000495624,3
1000498453,0
1000500866,1
1000501064,0
1000502261,3
1000503673,0
1000504901,4
1000505116,1
1000509432,2
1000514091,0
1000518980,4
1000519114,0
1000521173,0
1000526358,3
1000529530,2
1000532684,3
1000540394,4
1000540913,3
1000541339,1
1000541547,3
1000553131,1
1000559423,4
1000559582,4
1000561734,0
1000564424,0
1000572446,0
1000572748,0
1000581695,4
1000582258,4
1000586524,3
1000596782,0
1000597074,0
1000598053,0
1000600534,3
1000603406,4
1000610341,1
1000618378,3
1000633892,0
1000646384,2
1000649322,4
1000650836,0
1000671370,1
1000678098,0
1000679406,0
1000684910,0
1000686695,3
1000693473,4
1000694806,1
1000701407,1
1000703190,1
1000706925,1
1000708005,4
1000715674,3
1000722119,0
1000730384,3
1000731563,1
1000743117,0
1000763481,0
1000766411,0
1000786587,3
1000787269,0
1000788344,4
1000793303,4
1000794611,0
1000808579,1
1000810162,0
1000821656,4
1000831527,0
1000832279,3
1000834729,2
1000864364,1
1000877910,3
1000890917,4
1000896551,2
1000902306,0
1000916408,4
1000917650,1
1000923994,0
1000924949,4
1000931246,3
1000940518,4
1000941495,4
1000941674,2
1000952532,3
1000953199,0
1000967622,4
1000983654,1
1000989549,4
1000994939,0
1000999821,0
1001000413,4
1001007965,3
1001012893,1
1001021234,3
1001023424,0
1001031425,0
1001039564,1
1001040370,0
1001044693,3
1001068093,3
1001069516,3
1001069695,4
1001075515,4
1001082817,2
1001098747,4
1001111351,0
1001126359,1
1001133436,3
1001138433,3
1001142826,0
1001144870,0
1001145926,0
1001158798,1
1001163786,0
1001164094,1
1001166561,3
1001172828,4
1001181299,3
1001183332,4
1001186256,0
1001186476,1
1001190320,3
1001192485,3
1001197727,3
1001200092,0
1001201540,4
1001201726,3
1001204543,0
1001220447,2
1001228129,0
1001230403,1
1001236410,4
1001238306,3
1001245194,1
1001249093,1
1001262268,0
1001277025,4
1001279853,4
1001285738,0
1001316993,1
1001324480,3
1001328497,3
1001334871,0
1001340566,4
1001344810,3
1001346655,3
1001348089,2
1001348552,1
1001351401,1
1001352594,0
1001368049,3
1001369309,1
1001372767,3
1001373790,3
1001376854,4
1001378525,0
1001383593,3
1001388930,1
1001394940,0
1001396350,4
1001397931,0
1001399097,3
1001403765,3
1001407240,4
1001414872,0
1001417984,0
1001422917,0
1001423970,1
1001428973,1
1001430598,3
1001436476,3
1001438230,1
1001438396,3
1001438988,0
1001440254,3
1001444799,4
1001444855,1
1001446229,3
1001446501,3
1001453175,0
1001455744,4
1001460065,0
1001467462,0
1001467943,0
1001471414,2
1001477880,0
1001480584,1
1001481801,1
1001484419,0
1001484491,0
1001488485,0
1001495476,1
1001496364,0
1001501061,3
1001501599,1
1001503365,0
1001504396,1
1001504712,0
1001510142,3
1001510935,4
1001515214,0
1001516408,4
1001516600,4
1001516684,4
1001517418,1
1001525628,0
1001527421,0
1001532009,1
1001533232,3
1001534105,0
1001535443,3
1001541449,4
1001542481,3
1001559841,0
1001561117,0
1001569174,3
1001569709,3
1001570525,0
1001572613,1
1001573352,4
1001581119,3
1001591217,0
1001597269,0
1001599048,0
1001604591,0
1001606266,4
1001607246,4
1001609550,3
1001612643,0
1001612864,3
1001613122,3
1001615264,3
1001616587,0
1001617793,3
1001619024,4
1001620006,3
1001622449,2
1001623570,0
1001626844,0
1001634831,3
1001635474,4
1001636196,3
1001638943,2
1001639771,0
1001646119,3
1001652316,0
1001653678,0
1001654250,4
1001657985,3
1001658345,0
1001658404,4
1001658711,0
1001662767,0
1001667768,0
1001674097,0
1001675569,0
1001678305,0
1001678482,4
1001679924,1
1001686587,2
1001688065,3
1001695373,4
1001702795,4
1001703873,3
1001706497,0
1001708528,4
1001709558,4
1001710962,4
1001712530,0
1001713504,3
1001714487,3
1001719060,2
1001719931,4
1001724181,4
1001736645,2
1001737211,0
1001741780,2
1001743735,1
1001745289,1
1001745877,0
1001749275,4
1001749545,3
1001758713,2
1001759050,3
1001759653,1
1001760115,0
1001762361,0
1001766664,4
1001767280,4
1001767493,0
1001769319,4
1001770785,0
1001779128,0
1001781932,0
1001784906,4
1001785136,0
1001788787,4
1001788797,0
1001789510,0
1001789542,0
1001793596,1
1001797931,3
1001799780,0
1001800077,0
1001802805,3
1001807503,3
1001810070,0
1001812458,3
1001813571,0
1001815053,4
1001815112,3
1001816923,4
1001817340,1
1001818017,3
1001821471,0
1001821876,0
1001826126,0
1001826194,3
1001828392,4
1001828798,3
1001831194,0
1001837984,4
1001839233,4
1001839658,0
1001840735,3
1001844216,1
1001847192,3
1001849397,1
1001854369,0
1001854839,0
1001854974,1
1001857393,0
1001862498,3
1001864497,4
1001869724,1
1001870668,0
1001872683,3
1001872771,4
1001873780,0
1001875392,0
1001875827,3
1001877672,4
1001878648,0
1001881231,0
1001881367,4
1001882439,1
1001882587,0
1001884619,4
1001887796,0
1001888185,1
1001889115,3
1001889517,3
1001895566,3
1001896057,0
1001898417,4
1001901843,4
1001903863,1
1001906041,0
1001909330,3
1001911771,3
1001913742,0
1001914310,0
1001914948,0
1001919429,4
1001924317,0
1001926706,1
1001927601,1
1001930795,4
1001931322,4
1001933869,2
1001941134,3
1001942315,0
1001943448,0
1001944810,0
1001949538,0
1001950405,4
1001950627,0
1001950641,3
1001956035,4
1001957037,4
1001963547,4
1001965054,0
1001967851,1
1001968069,0
1001972220,4
1001974077,0
1001977013,0
1001979140,4
1001986691,4
1001986841,0
