发送时间,视频内弹幕出现时间,弹幕文本
1675953999,3.76500,INTJ发现自己被点名了
1675929167,65.90300,我也想要这种天气
1675928151,36.81900,我想在这里踢球
1675926450,84.46600,我曾经也向往过的生活
1675923918,108.90400,一喂顺风车
1675923192,6.26000,是的，你什么都梦到过
1675920838,4.60400,这肯定很扎
1675920667,30.41900,还是相机下的视角好，人眼现场看起来没那么好
1675920329,4.07400,钱是你自己挣的，不是大风刮来的
1675917253,60.70900,好怕有蛇
1675915244,74.77800,谁不想这样呢，还不是被现实束缚
1675913694,50.58900,蚂蚁 昆虫（晕）
1675911982,89.50000,好美
1675908367,16.02200,他们可不孤独，都有人拍视频的都
1675906233,11.58000,我忠属于我自己
1675898109,31.19100,他的思维逻辑是最为活跃以及跳跃。
1675894494,95.58700,我不受他人的束缚，享受着拥有属于自己的孤独！
1675875464,22.92300,宁静是最舒服的
1675871659,14.63900,哈哈，好像绿色的水绵
1675871472,50.23500,拥抱自然不好吗？自然可比人容易相处多了
1675867491,46.03400,感觉都在哪里见过
1675864145,15.41600,草，随着风飞，看着软绵，就像你的心
1675941612,14.10900,地球真的挺美好的
1675922380,16.29800,拍完这条就回公司加班~
1675920130,14.01900,不扎吗
1675920089,51.22200,我也喜欢，但是会不会有毛毛虫啊
1675919751,48.35300,可是会有虫子哎
1675917721,68.13900,仙！！！
1675916987,36.88100,住这种地方太好了
1675910869,23.08000,富人小曲
1675909924,5.37900,来一场情绪的逃跑吧！
1675904038,5.81900,是故意的还是不小心的（既答）
1675902230,5.17500,这草丛很扎人的
1675885846,48.67800,好美，我也想在这里奔跑
1675870557,31.57600,别人看见了一切，只有你看见了虫子
1675855097,14.41500,沉没在，绿色海洋
1675935758,0.00000,intj
1675935446,23.54500,又想要美景又怕虫子，世界是所有生命的呀
1675928395,13.61900,啊，对对对
1675928138,47.33500,消逝的光芒 信徒
1675922960,38.39600,要说为什么的话，因为我生下来，就是自由的！
1675922691,60.98000,？
1675919920,16.33800,如果看不惯可以不看，扫兴的人坏事做尽
1675918974,6.33900,有点扎皮
1675918579,90.94000,庆云顶啊
1675917517,48.20300,好羡慕
1675915538,6.04700,小时候我就喜欢躺在屋顶上呆呆的看着某一处，那太舒适了
1675914813,51.47900,汐......
1675909996,13.17600,谁给他拍照的
1675899835,6.31100,我老是梦到能像这样躺在一大片草原上看天
1675898153,75.17500,因为没有人会成为她思想中的一部分。
1675882424,13.05100,很扎的
1675875733,5.97900,草：你高尚，你自由
1675861966,34.57500,虫子可多了
1675959278,35.78100,看到这里突然好孤独
1675955704,35.09900,拖延
1675941749,38.85900,你错了 人眼看起来更好
1675933190,17.49900,我也想躺，但怕虫子.....
1675926154,46.53000,人生不是轨道，是原野！
1675924328,84.51000,也有可能是三脚架doge
1675921368,12.91900,这就拍照好看，拍完麻溜跑了
1675917166,68.34800,我免费啦！
1675916912,7.17900,我好怕这草里有虫子
1675910833,6.85900,我躺过
1675910073,6.86400,没钱也能享受片刻的安宁与自由啊。
1675907605,16.43200, 审核：你小子最好看的是草
1675906629,12.93700,感觉在这种环境下是最能痛痛快快上厕所的
1675904915,51.60300,Fatal
1675902071,27.36600,这背景绝了啊
1675880150,12.61900,心旷神怡的感觉啊，身边有点音乐，我愿意静静的在这躺一天，什么都不做
1675867282,46.21900,谁在拍摄
1676005600,8.45900,可我是INFP
1675947810,91.15000,风是自由的，我应该也是吧
1675936343,75.81300,支持
1675929341,12.32500,蚊子
1675928057,35.79300,大自然的魅力
1675927399,52.28200,吃不到葡萄就说葡萄酸（doge）
1675924443,18.25600,这也太棒了吧
1675924072,7.78500,这毯子不会飞吗？
1675919842,0.81300,说“得”浪漫点
1675917086,7.70900,这样躺其实一点都不舒服，草扎得难受
1675906955,8.47900,快盖肚子
1675906540,44.01800,那个金色的草地让我想到了《深海》里南河的家乡
1675864241,11.44900,代入感很强 已经有虫子飞头发上了
1675863599,40.03900,如果不是交友太复杂，谁有喜欢孤独呢？
1675935751,0.00000,intj
1675935742,0.00000,Intj
1675935721,0.00000,欢迎INTJ们点进来
1675927368,52.28200,吃不到葡萄就说葡萄酸（）doge
1675926466,100.87000,谢谢你帮我实现
1675925669,35.81600,相机拍不出完全的美，现实只会更美，我云南的，见过差不多的风景也拍过
1675920546,10.24000,觉得大自然好，是因为还有没被虫子咬到得皮肤病而已
1675916110,18.82300,我也是，一个人玩可开心了
1675912772,9.65900,钱给的自由
1675904155,69.45900,海的那边是自由吗？[doge]
1675903146,10.29900,大自然不说话却最抚人心
1675899444,45.99400,希望我们再次相遇，是在一个阳光更好的日子。
1675870854,28.09500,对于一个分享欲很强的人。孤独很致命。(●—●)
1675870566,41.07500,唯独你活的清醒？
1675867476,46.03400,感觉都在哪里见过
1675850733,0.00000,大肠小曲
1675955728,45.33900,这是哪
1675935736,0.00000,欢迎intj们点进来
1675926994,19.86400,就在这躺下，再也不要醒来了。一旦醒来，麻烦事就很多
1675923115,0.32200,草：你高清
1675921254,0.00000,孤独？摄影师站出来。。
1675919353,36.49900,不会有蚊子吗
1675917519,77.51500,摄影师不是人吗
1675916724,8.51900,啊会有虫子呜呜呜
1675909219,91.81900,自由并不是不在意他人啊
1675906538,9.15700,我们都是自由的
1675901865,85.18200,我是自由的
1675884358,28.85900,以后的事情，以后再说吧，我只把握现在
1675882387,52.97100,今天天气不错
1675881040,19.68300,上古时期的神仙
1675880920,41.39900,只是习惯了孤独的存在离不开了，并非不喜欢
1675877680,0.00000,我好像梦到过！
1675866486,45.21300,代入感很强，已经吃到馅了
1675832280,8.65900,这样的景色好好啊
1675955721,41.45900,一定带你去这里
1675923859,1.77500,一喂顺风车
1675917895,21.93100,会不会，有好多小虫子啊
1675915362,30.21900,好想去
1675904902,44.43200,Fata
1675898080,1.80200,他的皮囊不会给他任何便利也比也不会给他束缚。
1675886099,1.46500,BGM：Fatal love
1675873357,53.93300,我喜欢这种景观
1675871396,44.48300,书中的氧吧
1675929359,42.13500,来过和这差不多的地方，非常爽
1675928198,44.32700,能在这里死去也是不错的
1675924339,3.12200,蜱虫狂喜
1675921659,2.31100,xwc
1675921227,54.31300,好像往地上一躺
1675914641,94.94200,如此美景，跳舞岂不美哉
1675875416,2.58900,前提是有钱
1676005328,30.81300,脸不渣吗？
1675949929,30.22800,若隐若现啊
1675923960,10.78800,主动比被动舒服
1675922956,1.36200,好想在这种地方躺下
1675922189,10.44000,第一幕爱了
1675922142,8.79800,鸡胸？
1675921527,0.36200,草:草
1675921060,34.96000,摄影师拍的好，自己拍拍不出来这种效果
1675920381,70.36000,你怕捏码呢？怕就退出去别看，吵到别人眼睛了
1675918407,2.68700,看草硬不硬
1675918387,58.68700,喜欢自然
1675917307,12.69000,好美...好舒服...
1675914664,10.94200,我与草木都在风中舞蹈
1675914212,45.39900,你这样踩那些草，他们不会痛吗…
1675913414,7.44400,虫子爬过来怎么办！！，
1675909409,57.41900,我讨厌与人相处，人都是比事贼多的 巨讨厌
1675908835,26.67800,这种地方国内一抓一大把，你们确定你们真的想去过这种生活吗？别骗自己了
1675907636,3.39000,每次躺在学校的操场，就有种特殊的感觉
1675902648,43.67700,好喜欢这种感觉
1675902628,22.90000,这种感觉好爽的
1675874732,105.14300,人间随心，心在苍穹，怎不自由
1675868142,8.76500,"I never feel lonely, to be honest, I'm totally free"
