video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否周末,是否原创_1,是否原创_2,是否合作_0,是否合作_1,有无简介_0,有无简介_1,有无广告_0,有无广告_1,标题样式_。,标题样式_！,标题样式_？,是否周末_False,日均播放,日均点赞,日均硬币,日均评论,日均弹幕,日均分享,日均收藏,y,24h后播放增量,发布时间星期,发布时间
224016124,1676525402,1000821716,这期视频干货满满，耐心观看,1675955627,1675955628,5.407171771460119,职业职场,11,48,2,233,0,408,9,22,6167,1,0,48.0,2.0,0.0,237.0,417.0,9.0,22.0,6318.0,6.0,12.748332980822052,5.424950017481403,-0.0044052863436123,-0.0044052863436123,0,。,0,6.594618055555555,7.447963166901121,0.0,0.0,0.3566749439387322,1.791759469228055,False,1,0,1,0,1,0,1,0,1,0,0,1,6.840713904744108,4.141047348617351,2.1136814372340216,0.8606719880443975,0.2648823296192931,1.4669646499946876,3.5926945335361022,5.0238805208462765,151.0,4,2023-02-09 23:13:47
224018206,1676528950,998857724,事业编提拔副科工资只加了300，那为什么还挤破头想提拔？,1675854032,1675846642,5.484796933490655,职业职场,7,25,13,72,0,335,178,26,28625,1,0,28.0,13.0,0.0,73.0,345.0,183.0,26.0,29523.0,6.0,11.270382455076408,5.402677381872279,-0.0045045045045045,-0.0045045045045045,1,？,0,7.811550925925926,8.411261083859454,2.4849066497880004,0.6931471805599453,1.5279448781829175,2.5463834233390013,False,1,0,1,0,0,1,1,0,0,0,1,1,8.206432214654976,3.7815773557709544,1.4351770895697078,3.1691294668460324,0.9799046393426205,1.465198961277032,2.3240647162243393,6.80128303447162,898.0,3,2023-02-08 19:00:32
224043504,1676515490,999995917,找准优势，追寻热爱，拥有不被定义的人生,1676289600,1675921637,6.879355804460439,职业职场,11,0,0,6,0,15,1,1,220,1,0,0.0,0.0,0.0,6.0,15.0,1.0,1.0,228.0,5.0,11.089393122899446,5.0106352940962555,-0.0066666666666666,-0.0066666666666666,1,。,0,2.6144675925925926,9.927417124639462,0.0,0.0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1,4.432567067043188,1.9076601073660318,0.0,0.32388408816406655,0.0,0.32388408816406655,1.1923825887137272,2.1972245773362196,8.0,1,2023-02-13 20:00:00
224061701,1676526749,1000094797,关于小船靠岸应该怎么讲？,1675923369,1675923369,5.940171252720432,职业职场,6,101,3,38,0,411,51,9,4798,1,0,106.0,3.0,0.0,39.0,414.0,51.0,9.0,4941.0,6.0,13.621514316473224,7.062191632286556,-0.0008568980291345,-0.0008568980291345,1,？,0,6.983564814814815,12.833358652856,1.791759469228055,2.1972245773362196,0.3136575588550416,2.1276049430584587,False,1,0,1,0,0,1,1,0,0,0,1,1,6.532394938542797,4.091882608270071,2.7384195330465815,2.116600100272241,0.35738071756049933,0.828001490378338,1.862737691864646,4.969813299576001,143.0,4,2023-02-09 14:16:09
224062986,1676525792,1000523303,一分钟看完狂飙#狂飙 ##高启强 #,1675941639,1675941639,4.174387269895637,职业职场,11,18,0,103,0,1108,16,34,22813,1,0,18.0,0.0,0.0,105.0,1123.0,16.0,36.0,23244.0,6.0,12.748332980822052,5.424950017481403,-0.0044052863436123,-0.0044052863436123,0,。,0,6.761030092592593,9.577404794253102,0.0,0.0,0.9162907318741551,2.760009940032921,False,1,0,1,0,1,0,1,0,1,0,0,1,8.123910568885707,5.105220079129728,1.2980957910372422,1.2138746081280645,0.0,1.7965512211720973,2.787130289880747,6.068425588244111,431.0,4,2023-02-09 19:20:39
224085871,1676509578,1000389666,理解真实世界，是职场人最需要掌握的能力,1676462400,1675935926,6.343880434126331,职业职场,10,0,0,6,0,13,1,1,154,1,0,0.0,0.0,0.0,10.0,17.0,1.0,2.0,209.0,5.0,11.089393122899446,5.0106352940962555,-0.0066666666666666,-0.0066666666666666,1,。,0,0.5460416666666666,10.022722866459075,0.0,0.0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1,5.6420125959862055,3.2111543702993335,0.0,1.040757894646727,0.0,1.040757894646727,2.4839205348416136,4.02535169073515,55.0,3,2023-02-15 20:00:00
224094049,1676525521,1000650359,电影院断网续集,1675948911,1675948911,6.218600119691729,职业职场,2,289,194,186,0,2726,204,37,49542,1,0,289.0,196.0,0.0,187.0,2751.0,205.0,37.0,50320.0,6.0,12.005528053227795,4.59511985013459,-0.0101010101010101,-0.0101010101010101,0,。,0,6.673726851851852,0.6931471805599453,2.5649493574615367,0.6931471805599453,1.1774708635804294,2.2141741356499924,False,1,0,1,0,1,0,1,0,1,0,0,1,8.912397621356142,6.0148573437282264,3.791078119934626,3.452132166165111,3.4035018873795417,1.8785682528045056,3.362819771603315,6.658011045870748,778.0,4,2023-02-09 21:21:51
224193747,1676522350,1002897343,体制内一位厅级前辈，给女儿的忠告，太好了！,1676091301,1676091301,5.2574953720277815,职业职场,11,11,0,149,0,125,5,30,2811,1,0,11.0,0.0,0.0,149.0,125.0,5.0,32.0,2832.0,6.0,11.452081444087579,5.5134287461649825,-0.0040322580645161,-0.0040322580645161,0,！,0,4.988993055555556,9.987707537212735,0.0,0.0,0.22314355131420976,0.5596157879354227,False,1,0,1,0,1,0,1,0,0,1,0,1,6.334061473979782,3.260215681140808,1.1646664545500616,0.6942496954138465,0.0,1.9477994309751763,3.4296470292672914,3.091042453358316,21.0,6,2023-02-11 12:55:01
224245303,1676519658,1004228820,公考面试：围炉煮茶成了年轻人新的社交方式，但是它安全吗？对此你怎么看。,1676171863,1676171863,5.5093883366279774,职业职场,6,4,0,18,0,29,4,4,1436,1,0,4.0,0.0,0.0,20.0,30.0,4.0,4.0,1477.0,6.0,11.174090439159826,5.003946305945459,-0.0067114093959731,-0.0067114093959731,0,？,0,4.025405092592592,9.721525930957721,0.0,0.0,0.0,0.9162907318741551,False,1,0,1,0,1,0,1,0,0,0,1,1,5.87699119967954,2.104651566645032,0.6899865966411739,0.6899865966411739,0.0,0.6899865966411739,1.6995710141236846,3.7376696182833684,41.0,7,2023-02-12 11:17:43
224250248,1676513249,1007628586,5个金句帮你缓解焦虑,1676367026,1676367027,4.663439094112067,职业职场,8,60,4,26,0,128,14,4,1363,1,0,62.0,4.0,0.0,27.0,146.0,16.0,5.0,1561.0,5.0,11.08047962853029,4.962844630259907,-0.0069930069930069,-0.0069930069930069,0,。,0,1.692395833333333,9.861564691868365,0.0,0.6931471805599453,0.07410797215372183,0.7308875085427922,False,1,0,1,0,1,0,1,0,1,0,0,1,6.69129825382271,4.33902028284266,3.5960155012500015,2.227031075323148,1.212986041983165,1.212986041983165,2.7950126789801013,5.293304824724492,198.0,2,2023-02-14 17:30:26
224262991,1676515779,1006031371,职场老前辈告诉你，这些学生时代坏习惯一定要改｜台妹PK职场情商秘笈,1676282400,1676275326,5.521460917862246,职业职场,7,88,74,58,0,578,39,6,2914,1,0,94.0,78.0,0.0,58.0,595.0,40.0,6.0,3059.0,6.0,11.976477074630195,5.583496308781699,-0.0037593984962406,-0.0037593984962406,0,。,0,2.7011458333333334,10.122031972612547,1.791759469228055,0.0,0.5280674302004967,1.246532418744732,False,1,0,1,0,1,0,1,0,1,0,0,1,6.983605921053694,5.370560179867873,3.513893924562915,2.736852540743371,3.3462405817170535,1.1697786562675843,3.1122865091764917,4.983606621708336,145.0,1,2023-02-13 18:00:00
224315780,1676515560,1006276907,chatGPT，你绝对小看它了！,1676286063,1676286063,7.126087273299125,职业职场,9,1259,529,1749,0,4709,788,1160,66003,1,0,1387.0,562.0,0.0,1945.0,5171.0,834.0,1307.0,72831.0,4.0,10.851703217194657,2.772588722239781,-0.0625,-0.0625,1,！,0,2.6562152777777777,12.323318252847198,1.791759469228055,1.791759469228055,1.0487103956459873,2.3739455299550754,False,1,0,1,0,0,1,1,0,0,1,0,1,10.120553192811263,7.480892481553784,6.163278311663717,5.695960971201037,5.299094786863147,6.081560225457343,6.491414746375612,8.82893352896109,6828.0,1,2023-02-13 19:01:03
224387723,1676510246,1008614899,看似鉴权问题暗藏玄机，面试遇到如何回答，场景分析很重要,1676455200,1676429629,5.529429087511423,职业职场,10,172,4,112,0,416,123,7,4571,1,0,221.0,4.0,0.0,162.0,532.0,149.0,8.0,6625.0,6.0,11.023828716667804,5.58724865840025,-0.0037453183520599,-0.0037453183520599,0,。,0,0.6371064814814815,10.473899141254158,3.7376696182833684,3.7612001156935624,1.0279947214541563,1.4143073973475648,False,1,0,1,0,1,0,1,0,1,0,0,1,8.878305754830095,6.483034071165467,5.602010217449978,5.268169190718128,1.9849090450862183,2.4838372751490208,5.17498968038106,7.628031126930335,2054.0,3,2023-02-15 18:00:00
224427324,1676511379,1008519915,令人心动的清华MBA | 冯杰：上课还能赚钱？,1676425348,1676425348,4.812184355372417,职业职场,7,2,1,3,0,2,0,1,87,1,0,2.0,1.0,0.0,3.0,5.0,0.0,1.0,119.0,3.0,10.876196424315083,4.477336814478207,-0.0113636363636363,-0.0113636363636363,1,？,0,0.9957291666666668,7.780482165658442,0.0,0.0,0.0,0.0,False,1,0,1,0,0,1,1,0,0,0,1,1,4.470188098046749,1.1014676426521084,1.1014676426521084,0.0,0.6952894600322299,0.6952894600322299,1.3895060617721249,3.4965075614664802,32.0,3,2023-02-15 09:42:28
