video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,日均播放,日均点赞,日均硬币,日均评论,日均弹幕,日均分享,日均收藏,y,24h后播放增量,发布时间星期,发布时间
224501675,1677121911,1012591204,普通人如何翻身逆袭？,1676640504,1676640504,6.126869184114185,职业职场,10,26,1,76,0,102,4,11,1207,1,0,26.0,2.0,0.0,77.0,103.0,4.0,12.0,1238.0,6.0,12.777300748793763,5.497168225293202,324807.65573770495,13214.860655737704,0,？,0,5.571840277777778,12.0861617851596,0.0,0.0,0.28768207245178085,0.9808292530117263,5.378167830741978,2.9072474229287177,1.7345402024944592,0.5411000931512053,0.16506850608192217,1.0899794957355413,2.6837587174205755,3.4339872044851463,31.0,5,2023-02-17 21:28:24
224553368,1677115643,1014284874,Creo/proe-ipad曲面造型，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,1676936640,1676728375,4.6913478822291435,职业职场,10,2,0,34,0,21,0,1,782,1,0,2.0,0.0,0.0,36.0,23.0,0.0,1.0,822.0,5.0,10.762191543557298,6.194405391104672,3911.451020408164,72.35510204081632,1,。,0,2.0717939814814814,5.01529110563245,0.0,0.0,0.0,0.0,5.933439850878473,2.316107548056585,0.6756687943627349,0.0,0.0,0.39384686004991265,2.8570963401216383,3.6888794541139363,40.0,2,2023-02-21 07:44:00
224587615,1677120367,1012338079,老板和管理者有没有好好对待离职员工,1676722500,1676629840,5.484796933490655,职业职场,10,4,0,17,0,64,0,9,2846,1,0,4.0,0.0,0.0,19.0,75.0,0.0,9.0,3122.0,4.0,10.598957034465641,6.796823718274855,3076.863687150838,115.2100558659218,0,。,0,4.60494212962963,9.475730822152109,0.0,0.0,0.0,0.0,6.426539675877163,2.6317529805870374,0.6252066016654219,0.0,0.0,1.0833030158430639,1.545791988043899,5.62040086571715,276.0,6,2023-02-18 20:15:00
224654221,1677116587,1017065976,"如果有人每个月能给你赚200万,你觉得给他多少合适呢?",1676884191,1676884191,4.736198448394496,职业职场,11,6,2,11,0,46,5,3,1130,1,0,6.0,2.0,0.0,11.0,46.0,5.0,3.0,1140.0,6.0,11.4558364604861,5.572154032177765,117574.01901140684,4279.836501901141,0,。,0,2.6897685185185187,10.526207391690482,0.0,0.0,0.0,0.6931471805599453,6.040517774390722,2.8391862591734305,1.1726911639219812,1.0504355441257456,0.5559280875318167,0.7492144278366011,1.627193593041045,2.302585092994046,10.0,1,2023-02-20 17:09:51
224735385,1677116194,1016600202,一招让他闭嘴！黑心领导再敢抢你功劳就这么说！,1676894400,1676864690,4.997212273764115,职业职场,10,7,0,28,0,97,1,0,1450,1,0,7.0,0.0,0.0,29.0,100.0,1.0,0.0,1573.0,6.0,12.258033966738115,5.869296913133774,35247.627118644064,1114.8898305084747,1,！,0,2.567060185185185,10.034559673629849,0.0,0.0,0.0,0.0,6.336557488071914,3.6319496311606776,1.3155646202486813,0.32898043166579705,0.0,0.0,2.477161617275119,4.812184355372417,123.0,1,2023-02-20 20:00:00
224767240,1677112049,1019949015,坚持读书2000天发现，人生变强的秘诀是快速放弃？,1677051019,1677051019,6.747586526829315,职业职场,11,215,51,268,0,285,29,28,4304,1,0,292.0,91.0,0.0,417.0,428.0,49.0,41.0,6638.0,6.0,10.72450010409397,3.295836866004329,35856.333333333336,1306.148148148148,1,？,0,0.7063657407407408,12.242270437614662,2.0794415416798357,1.0986122886681098,0.8109302162163288,1.0560526742493137,8.714922231095226,6.000111309522257,5.721540194224098,3.7389834868009344,4.293203031635901,3.704741030237841,5.941241335479209,7.755338812846501,2334.0,3,2023-02-22 15:30:19
224778098,1677111302,1020538160,Excel技巧：Xlookup再厉害，也没Vlookup组合Match公式强！,1677070964,1677070964,5.537334267018537,职业职场,3,79,3,237,0,342,13,18,4854,1,0,138.0,3.0,0.0,582.0,546.0,32.0,57.0,16528.0,6.0,14.164523826079797,6.171700597410915,14741.106471816283,534.1920668058455,0,！,0,0.466875,6.6293632534374485,0.0,0.6931471805599453,0.44183275227903923,0.6359887667199967,9.249252109381603,6.596504460157661,5.137033991258999,3.361926689571416,2.0049473349224174,3.677672309704995,6.231721863158182,9.365119425763737,11674.0,3,2023-02-22 21:02:44
224781681,1677114695,1018444492,公务员职务职级并行，无法晋升的几种情形,1676964720,1676964720,5.3612921657094255,职业职场,5,2,0,9,0,44,10,0,1751,1,0,2.0,0.0,0.0,11.0,54.0,10.0,0.0,1984.0,4.0,10.589207217267276,4.997212273764115,19574.364864864863,643.4459459459459,0,。,0,1.7358217592592593,8.740688680792982,0.0,0.0,0.9162907318741551,1.0116009116784799,6.916461394556705,3.2327086961891145,0.7664868725216255,1.9111649154756891,0.0,0.0,1.8221050402069277,5.4510384535657,233.0,2,2023-02-21 15:32:00
224857623,1677111602,1020300743,人最大的导师就是自己，多自省多认识自己，总会找到答案,1677061529,1677061529,5.407171771460119,职业职场,4,51,1,99,0,134,9,14,1927,1,0,59.0,1.0,0.0,127.0,163.0,15.0,19.0,2420.0,6.0,11.489697778850925,6.363028103540465,18051.775862068964,374.2913793103448,0,。,0,0.5795486111111111,3.6506582412937387,0.0,0.0,0.4054651081081644,0.4054651081081644,8.109225403559986,5.443345535096531,4.4886309843218894,2.8051362081802202,1.0026448521973872,3.225125501789478,5.146462543422199,6.20050917404269,493.0,3,2023-02-22 18:25:29
267048165,1677123280,1011664357,【2.16直播回放】美国白尾鹿感染问题,1676601043,1676601043,7.071573364211532,职业职场,8,124,76,92,0,319,72,82,9768,1,0,130.0,77.0,0.0,95.0,324.0,72.0,83.0,10010.0,6.0,13.656879355570146,4.787491742782046,113807.0,1958.1166666666663,0,。,0,6.044409722222222,8.864693678433763,0.6931471805599453,0.0,0.5154660033224928,1.7761341513249742,7.387733183766657,3.966057270760961,3.0687421733430416,2.5581441880575158,2.6081268506160984,2.6787075110926852,2.786286704431348,5.488937726156687,242.0,5,2023-02-17 10:30:43
